,節,開催日,相手,スコア,HomeAway,会場,天候,自チーム,年度,team_id,指揮官,H_シュート,H_枠内シュート,H_PKによるシュート,H_パス,H_クロス,H_直接ＦＫ,H_間接ＦＫ,H_ＣＫ,H_スローイン,H_ドリブル,H_タックル,H_クリア,H_インターセプト,H_オフサイド,H_警告,H_退場,H_３０ｍライン進入,H_ペナルティエリア進入,H_攻撃回数,H_チャンス構築率,H_ボール支配率,H_シュート成功率,H_パス成功率,H_クロス成功率,H_スローイン成功率,H_ドリブル成功率,H_タックル成功率,A_シュート,A_枠内シュート,A_PKによるシュート,A_パス,A_クロス,A_直接ＦＫ,A_間接ＦＫ,A_ＣＫ,A_スローイン,A_ドリブル,A_タックル,A_クリア,A_インターセプト,A_オフサイド,A_警告,A_退場,A_３０ｍライン進入,A_ペナルティエリア進入,A_攻撃回数,A_チャンス構築率,A_ボール支配率,A_シュート成功率,A_パス成功率,A_クロス成功率,A_スローイン成功率,A_ドリブル成功率,A_タックル成功率,A_スプリント,A_総走行距離,H_スプリント,H_総走行距離,A_ゴール期待値,H_ゴール期待値
5777,39,1028,東京Ｖ,0-0,A,味スタ,雨,アビスパ福岡,2017,fuku,,17,6,0,575,22,15,0,8,29,14,24,27,2,2,0,0,57,19,131,13.0%,57.3%,(0.0%),(76.9%),(18.2%),(93.1%),(64.3%),(79.2%),7,1,0,351,17,8,2,5,32,11,21,45,4,0,0,0,38,13,121,5.8%,42.7%,(0.0%),(70.7%),(23.5%),(75.0%),(18.2%),(81.0%),,,,,,
5778,40,1105,湘南,2-1,H,レベスタ,晴,アビスパ福岡,2017,fuku,,17,5,0,303,14,12,3,4,15,16,19,35,1,1,1,0,29,15,108,15.7%,43.3%,(11.8%),(69.3%),(21.4%),(86.7%),(56.3%),(84.2%),16,7,0,507,22,13,1,9,20,20,14,23,2,2,1,0,41,17,119,13.4%,56.7%,(6.3%),(81.5%),(36.4%),(90.0%),(45.0%),(92.9%),,,,,,
5779,41,1111,松本,1-1,H,レベスタ,晴,アビスパ福岡,2017,fuku,,14,7,0,417,27,7,5,1,35,25,16,29,1,3,0,0,43,16,143,9.8%,50.8%,(7.1%),(61.9%),(25.9%),(88.6%),(48.0%),(81.3%),5,1,0,411,14,14,3,4,22,5,32,37,1,5,1,0,26,5,133,3.8%,49.2%,(20.0%),(64.2%),(21.4%),(95.5%),(60.0%),(75.0%),,,,,,
5780,42,1119,岡山,1-1,A,Ｃスタ,晴,アビスパ福岡,2017,fuku,,8,1,0,320,9,15,1,3,18,8,19,43,4,7,1,0,22,8,134,6.0%,42.1%,(12.5%),(60.0%),(11.1%),(55.6%),(25.0%),(84.2%),18,4,0,465,13,15,7,6,31,8,14,22,1,1,0,0,42,15,151,11.9%,57.9%,(5.6%),(71.0%),(30.8%),(87.1%),(50.0%),(78.6%),,,,,,
5781,1,0225,岐阜,2-0,H,レベスタ,曇時々雨,アビスパ福岡,2018,fuku,井原　正巳,11,5,1,369,12,18,0,10,32,14,18,39,2,1,2,0,31,13,140,7.9%,44%,(18.2%),(69.4%),(25.0%),(93.8%),(35.7%),(61.1%),7,2,0,563,9,19,1,3,21,16,18,35,3,0,3,0,39,7,120,5.8%,56%,(0.0%),(79.6%),(0.0%),(81.0%),(43.8%),(72.2%),,,,,,
5782,2,0303,京都,2-2,H,レベスタ,曇時々雨,アビスパ福岡,2018,fuku,井原　正巳,22,7,0,609,19,14,1,3,20,12,9,22,1,0,1,0,35,21,111,19.8%,57.4%,(4.5%),(83.7%),(42.1%),(100.0%),(41.7%),(100.0%),7,3,0,354,13,12,0,4,23,5,16,25,4,1,1,0,20,8,111,6.3%,42.6%,(28.6%),(67.5%),(30.8%),(91.3%),(80.0%),(68.8%),,,,,,
5783,3,0311,金沢,1-0,A,石川西部,曇のち晴,アビスパ福岡,2018,fuku,井原　正巳,8,1,0,538,11,6,3,1,24,13,28,22,5,0,2,0,32,8,133,6.0%,48.7%,(0.0%),(72.7%),(36.4%),(91.7%),(46.2%),(89.3%),7,2,0,514,7,19,1,4,35,13,33,21,4,2,1,0,38,5,162,4.3%,51.3%,(14.3%),(72.2%),(42.9%),(94.3%),(38.5%),(75.8%),,,,,,
5784,4,0317,甲府,0-2,H,レベスタ,晴,アビスパ福岡,2018,fuku,井原　正巳,14,5,0,518,28,13,1,8,20,14,18,24,2,2,0,0,39,15,131,10.7%,51.7%,(0.0%),(74.7%),(28.6%),(95.0%),(78.6%),(83.3%),15,8,0,457,14,8,2,4,18,14,16,34,6,1,0,0,46,19,117,12.8%,48.3%,(13.3%),(73.7%),(7.1%),(94.4%),(50.0%),(62.5%),,,,,,
5785,5,0321,東京Ｖ,1-1,A,味スタ,雨,アビスパ福岡,2018,fuku,井原　正巳,14,3,0,633,18,9,0,6,22,11,14,26,5,2,1,0,50,17,132,10.6%,59.4%,(7.1%),(80.1%),(5.6%),(90.9%),(63.6%),(85.7%),17,5,0,441,13,11,2,6,16,11,21,25,3,1,1,0,30,11,124,13.7%,40.6%,(5.9%),(76.4%),(30.8%),(87.5%),(54.5%),(81.0%),,,,,,
5786,6,0325,大宮,1-2,A,ＮＡＣＫ,晴,アビスパ福岡,2018,fuku,井原　正巳,7,3,0,374,13,16,1,4,11,6,37,53,2,1,1,1,35,10,129,5.4%,43.6%,(28.6%),(71.7%),(15.4%),(81.8%),(66.7%),(81.1%),17,2,1,572,21,12,1,8,37,14,18,17,2,1,2,0,54,21,132,12.9%,56.4%,(5.9%),(78.3%),(19.0%),(89.2%),(50.0%),(50.0%),,,,,,
5787,7,0401,栃木,2-1,H,レベスタ,晴,アビスパ福岡,2018,fuku,井原　正巳,15,5,0,370,17,11,1,7,24,9,16,34,1,0,4,1,36,16,108,13.9%,47.8%,(13.3%),(77.6%),(11.8%),(83.3%),(33.3%),(68.8%),13,2,1,382,15,12,1,8,26,7,20,27,0,1,2,1,22,16,114,11.4%,52.2%,(7.7%),(73.0%),(26.7%),(65.4%),(57.1%),(80.0%),,,,,,
5788,8,0408,横浜FC,2-2,A,ニッパツ,晴,アビスパ福岡,2018,fuku,井原　正巳,19,9,0,368,8,19,1,3,21,9,20,34,4,2,2,0,25,14,137,13.9%,51.9%,(10.5%),(69.3%),(25.0%),(57.1%),(33.3%),(85.0%),20,5,0,315,18,14,2,6,26,15,18,28,1,1,5,0,32,13,134,14.9%,48.1%,(10.0%),(59.0%),(5.6%),(84.6%),(46.7%),(83.3%),,,,,,
5789,9,0414,山口,2-0,H,レベスタ,雨,アビスパ福岡,2018,fuku,井原　正巳,15,5,0,273,12,26,1,4,24,13,22,18,3,1,2,0,32,6,131,11.5%,38.4%,(13.3%),(60.1%),(41.7%),(91.7%),(76.9%),(77.3%),9,0,0,545,16,11,3,5,33,10,14,22,5,1,1,0,36,10,126,7.1%,61.6%,(0.0%),(76.1%),(25.0%),(100.0%),(20.0%),(64.3%),,,,,,
5790,10,0422,千葉,3-1,H,レベスタ,晴,アビスパ福岡,2018,fuku,井原　正巳,15,5,1,242,5,8,1,1,30,10,23,35,2,9,1,0,22,11,116,12.9%,33.7%,(13.3%),(56.2%),(0.0%),(83.3%),(30.0%),(73.9%),5,1,0,549,18,16,9,7,26,14,16,26,1,1,3,0,33,8,123,4.1%,66.3%,(20.0%),(78.0%),(27.8%),(96.2%),(64.3%),(87.5%),,,,,,
5791,11,0428,讃岐,1-1,A,ピカスタ,晴,アビスパ福岡,2018,fuku,井原　正巳,9,4,0,333,6,15,0,2,22,10,20,31,0,3,1,0,31,9,120,7.5%,44.3%,(11.1%),(65.5%),(0.0%),(72.7%),(20.0%),(70.0%),23,6,0,481,22,11,3,6,35,19,16,13,0,0,3,0,62,23,130,17.7%,55.7%,(4.3%),(73.0%),(9.1%),(88.6%),(47.4%),(75.0%),,,,,,
5792,12,0503,山形,2-1,H,レベスタ,晴,アビスパ福岡,2018,fuku,井原　正巳,12,4,0,424,9,15,1,8,24,13,16,28,1,1,3,0,48,15,119,10.1%,51.5%,(16.7%),(76.7%),(11.1%),(91.7%),(15.4%),(81.3%),10,3,0,398,11,18,1,2,16,8,24,35,1,1,2,0,36,14,119,8.4%,48.5%,(10.0%),(71.1%),(18.2%),(81.3%),(37.5%),(83.3%),,,,,,
5793,13,0506,岡山,2-2,A,Ｃスタ,雨,アビスパ福岡,2018,fuku,井原　正巳,13,7,0,386,10,13,4,4,19,4,17,22,2,4,1,0,30,12,126,10.3%,51.2%,(15.4%),(71.0%),(50.0%),(84.2%),(75.0%),(64.7%),12,2,0,380,15,19,4,2,29,16,12,22,1,3,2,0,32,7,136,8.8%,48.8%,(8.3%),(70.0%),(20.0%),(89.7%),(62.5%),(75.0%),,,,,,
5794,14,0512,愛媛,2-0,H,レベスタ,晴,アビスパ福岡,2018,fuku,井原　正巳,14,5,1,462,7,14,4,1,16,5,24,15,2,1,1,0,42,14,120,11.7%,45.8%,(14.3%),(77.7%),(28.6%),(93.8%),(40.0%),(83.3%),4,1,0,546,10,13,2,2,22,12,19,16,1,4,2,0,41,8,116,3.4%,54.2%,(0.0%),(82.4%),(10.0%),(100.0%),(25.0%),(57.9%),,,,,,
5795,15,0520,松本,0-1,A,松本,晴,アビスパ福岡,2018,fuku,井原　正巳,14,4,0,392,10,14,2,7,29,11,13,25,5,1,1,0,35,17,125,11.2%,52.1%,(7.1%),(67.9%),(20.0%),(79.3%),(63.6%),(84.6%),9,1,0,383,22,6,1,7,25,6,21,16,2,2,2,0,37,13,120,7.5%,47.9%,(0.0%),(65.5%),(9.1%),(76.0%),(66.7%),(61.9%),,,,,,
5796,16,0527,水戸,2-0,A,Ｋｓスタ,晴,アビスパ福岡,2018,fuku,井原　正巳,14,4,0,361,16,17,5,11,29,14,19,24,2,3,0,0,37,14,135,10.4%,50.3%,(0.0%),(64.5%),(12.5%),(75.9%),(71.4%),(84.2%),10,3,0,354,5,14,3,3,24,3,17,40,1,5,2,0,36,14,116,8.6%,49.7%,(20.0%),(68.6%),(0.0%),(83.3%),(33.3%),(76.5%),,,,,,
5797,17,0602,徳島,1-0,H,レベスタ,晴,アビスパ福岡,2018,fuku,井原　正巳,17,2,0,339,9,12,3,3,13,10,26,45,4,1,0,0,36,15,103,16.5%,41.8%,(5.9%),(78.8%),(11.1%),(84.6%),(40.0%),(76.9%),12,2,0,481,18,14,1,6,26,14,10,17,1,3,2,0,52,17,116,10.3%,58.2%,(0.0%),(79.4%),(16.7%),(92.3%),(42.9%),(70.0%),,,,,,
5798,18,0610,熊本,1-0,A,水前寺,曇時々晴,アビスパ福岡,2018,fuku,井原　正巳,8,3,0,630,18,11,3,4,25,13,12,18,1,1,1,0,46,11,102,7.8%,61.2%,(0.0%),(83.2%),(16.7%),(88.0%),(61.5%),(75.0%),12,4,0,380,14,11,1,5,14,9,19,38,2,2,0,0,32,13,98,12.2%,38.8%,(8.3%),(78.7%),(42.9%),(92.9%),(55.6%),(84.2%),,,,,,
5799,19,0616,新潟,0-2,H,レベスタ,晴,アビスパ福岡,2018,fuku,井原　正巳,10,0,0,393,24,12,2,7,26,19,18,24,2,0,3,0,39,12,109,9.2%,54.5%,(0.0%),(70.5%),(4.2%),(88.5%),(36.8%),(72.2%),11,3,0,284,5,23,0,5,17,11,26,27,1,2,4,0,21,8,108,10.2%,45.5%,(18.2%),(64.4%),(0.0%),(88.2%),(54.5%),(65.4%),,,,,,
5800,20,0623,大分,0-1,A,大銀ド,屋内,アビスパ福岡,2018,fuku,井原　正巳,13,7,0,442,7,8,1,2,13,5,21,45,0,0,0,0,29,10,113,11.5%,47.8%,(7.7%),(79.4%),(42.9%),(92.3%),(60.0%),(66.7%),25,7,0,522,23,11,0,7,25,28,15,23,3,1,0,0,65,24,122,20.5%,52.2%,(0.0%),(80.8%),(34.8%),(88.0%),(53.6%),(80.0%),,,,,,
5801,21,0630,町田,2-2,H,レベスタ,曇,アビスパ福岡,2018,fuku,井原　正巳,7,2,0,281,18,18,4,2,36,11,19,36,2,5,1,0,33,12,138,5.1%,47.5%,(28.6%),(52.7%),(16.7%),(83.3%),(54.5%),(68.4%),14,3,0,346,19,10,5,5,39,12,16,35,4,4,2,0,48,17,141,9.9%,52.5%,(14.3%),(58.1%),(26.3%),(84.6%),(75.0%),(81.3%),,,,,,
5802,23,0715,讃岐,3-1,H,レベスタ,晴,アビスパ福岡,2018,fuku,井原　正巳,21,6,0,446,13,12,2,7,17,11,8,26,2,3,0,0,51,17,111,18.9%,51.9%,(14.3%),(79.8%),(15.4%),(88.2%),(45.5%),(75.0%),8,2,1,352,3,6,3,0,27,9,11,28,0,2,2,0,22,4,104,7.7%,48.1%,(12.5%),(74.7%),(0.0%),(81.5%),(44.4%),(54.5%),,,,,,
5803,24,0721,東京Ｖ,0-0,H,レベスタ,晴,アビスパ福岡,2018,fuku,井原　正巳,13,3,0,484,16,10,1,6,28,6,22,20,2,0,2,0,41,12,112,11.6%,44.4%,(0.0%),(77.1%),(0.0%),(82.1%),(66.7%),(77.3%),9,1,0,610,18,11,0,2,16,17,15,31,1,1,2,0,40,11,97,9.3%,55.6%,(0.0%),(84.3%),(27.8%),(93.8%),(64.7%),(80.0%),,,,,,
5804,25,0725,徳島,1-3,A,鳴門大塚,晴,アビスパ福岡,2018,fuku,井原　正巳,21,9,1,439,11,15,0,5,16,10,26,16,2,1,1,0,40,19,111,18.9%,43.9%,(14.3%),(82.0%),(18.2%),(81.3%),(90.0%),(73.1%),14,4,0,626,11,11,1,6,12,5,19,18,3,0,1,0,46,17,108,13.0%,56.1%,(7.1%),(84.7%),(18.2%),(91.7%),(60.0%),(78.9%),,,,,,
5805,27,0804,甲府,2-1,A,中銀スタ,晴,アビスパ福岡,2018,fuku,井原　正巳,13,3,0,654,26,7,0,7,36,21,8,12,0,1,1,0,56,17,117,11.1%,63.4%,(7.7%),(82.0%),(11.5%),(97.2%),(14.3%),(50.0%),12,4,0,272,7,9,1,2,15,2,27,46,2,0,1,0,21,7,97,12.4%,36.6%,(16.7%),(69.5%),(42.9%),(93.3%),(100.0%),(70.4%),,,,,,
5806,28,0811,水戸,2-0,H,レベスタ,曇,アビスパ福岡,2018,fuku,井原　正巳,22,7,0,357,9,12,0,2,18,11,12,28,4,2,0,0,45,11,99,22.2%,48.5%,(9.1%),(75.4%),(33.3%),(77.8%),(45.5%),(66.7%),9,2,0,397,11,8,1,2,32,6,11,17,1,0,2,0,28,4,107,8.4%,51.5%,(0.0%),(71.8%),(9.1%),(87.5%),(50.0%),(72.7%),,,,,,
5807,29,0818,栃木,0-1,A,栃木グ,晴,アビスパ福岡,2018,fuku,井原　正巳,10,2,0,265,17,12,4,4,31,8,14,34,0,0,1,0,23,8,122,8.2%,42.2%,(10.0%),(50.6%),(17.6%),(61.3%),(50.0%),(85.7%),10,0,0,416,21,12,0,6,29,15,19,33,2,3,0,0,38,14,122,8.2%,57.8%,(0.0%),(66.3%),(14.3%),(72.4%),(46.7%),(73.7%),,,,,,
5808,30,0826,新潟,3-0,A,デンカＳ,雨,アビスパ福岡,2018,fuku,井原　正巳,17,5,0,490,26,9,0,3,25,25,18,19,2,5,1,0,53,16,115,14.8%,52.8%,(0.0%),(78.4%),(19.2%),(92.0%),(48.0%),(72.2%),8,4,0,404,6,11,5,3,22,8,22,37,0,0,0,0,39,6,112,7.1%,47.2%,(37.5%),(76.5%),(16.7%),(81.8%),(25.0%),(63.6%),,,,,,
5809,31,0901,大分,1-0,H,レベスタ,曇,アビスパ福岡,2018,fuku,井原　正巳,17,2,0,367,10,20,0,2,19,11,16,35,1,3,1,0,34,13,103,16.5%,42.2%,(5.9%),(73.6%),(20.0%),(78.9%),(72.7%),(62.5%),15,4,0,525,21,12,3,6,30,12,17,15,3,0,0,0,43,22,116,12.9%,57.8%,(0.0%),(80.2%),(33.3%),(90.0%),(41.7%),(64.7%),,,,,,
5810,32,0908,松本,0-1,H,レベスタ,曇,アビスパ福岡,2018,fuku,井原　正巳,19,5,0,394,18,9,1,6,26,12,16,37,1,1,1,0,43,15,108,17.6%,55.6%,(0.0%),(70.8%),(5.6%),(80.8%),(58.3%),(75.0%),10,2,0,270,14,19,2,6,17,12,12,43,4,1,1,0,25,12,116,8.6%,44.4%,(10.0%),(61.1%),(14.3%),(70.6%),(66.7%),(83.3%),,,,,,
5811,26,0912,横浜FC,0-0,H,レベスタ,曇,アビスパ福岡,2018,fuku,井原　正巳,16,5,0,455,15,23,3,6,22,11,22,17,2,0,1,0,43,8,112,14.3%,57.2%,(0.0%),(77.8%),(13.3%),(86.4%),(63.6%),(81.8%),13,2,0,320,8,18,0,2,18,11,13,42,1,2,3,0,15,7,105,12.4%,42.8%,(0.0%),(75.3%),(25.0%),(83.3%),(54.5%),(69.2%),,,,,,
5812,33,0916,千葉,3-3,A,フクアリ,曇,アビスパ福岡,2018,fuku,井原　正巳,10,3,1,471,14,12,4,3,23,10,16,18,1,0,1,0,24,9,121,8.3%,55.9%,(30.0%),(79.0%),(14.3%),(73.9%),(30.0%),(62.5%),16,6,0,385,20,14,0,2,21,16,14,15,2,4,1,0,32,16,110,14.5%,44.1%,(18.8%),(71.4%),(25.0%),(95.2%),(68.8%),(92.9%),,,,,,
5813,34,0922,愛媛,3-2,A,ニンスタ,晴,アビスパ福岡,2018,fuku,井原　正巳,15,5,0,391,11,8,1,5,10,17,15,26,1,0,0,0,24,14,95,15.8%,46.7%,(13.3%),(81.1%),(9.1%),(90.0%),(52.9%),(86.7%),25,7,0,498,31,7,1,15,11,12,9,19,4,1,2,0,53,27,100,25.0%,53.3%,(12.0%),(83.7%),(32.3%),(90.9%),(58.3%),(77.8%),,,,,,
5814,22,0926,京都,0-1,A,西京極,雨,アビスパ福岡,2018,fuku,井原　正巳,10,3,0,290,3,12,2,3,30,8,25,41,5,2,4,0,24,6,132,7.6%,43.5%,(10.0%),(63.8%),(33.3%),(90.0%),(25.0%),(64.0%),20,2,0,521,22,13,2,5,25,18,20,18,1,2,0,0,52,16,121,16.5%,56.5%,(0.0%),(77.2%),(18.2%),(84.0%),(66.7%),(80.0%),,,,,,
5815,35,0929,大宮,3-1,H,レベスタ,曇時々雨,アビスパ福岡,2018,fuku,井原　正巳,15,7,0,442,10,9,1,7,18,11,23,32,1,2,1,0,32,9,139,10.8%,48.3%,(20.0%),(70.4%),(0.0%),(88.9%),(45.5%),(82.6%),14,6,0,529,12,12,3,6,21,16,22,26,3,1,0,0,35,20,142,9.9%,51.7%,(7.1%),(73.9%),(25.0%),(100.0%),(31.3%),(63.6%),,,,,,
5816,36,1006,岡山,1-1,H,レベスタ,曇,アビスパ福岡,2018,fuku,井原　正巳,12,3,0,427,16,19,5,4,23,14,20,23,3,0,2,0,42,10,127,9.4%,52%,(8.3%),(75.2%),(18.8%),(82.6%),(42.9%),(75.0%),17,3,0,420,11,10,0,2,17,10,16,23,0,5,3,0,42,15,112,15.2%,48%,(5.9%),(75.2%),(45.5%),(100.0%),(50.0%),(81.3%),,,,,,
5817,37,1013,山口,1-0,A,みらスタ,晴のち曇,アビスパ福岡,2018,fuku,井原　正巳,10,1,0,534,31,14,4,8,28,15,21,21,3,2,1,0,61,13,145,6.9%,57.6%,(0.0%),(74.5%),(22.6%),(96.4%),(53.3%),(81.0%),6,2,1,339,12,11,2,4,22,7,14,30,2,4,0,0,29,11,137,4.4%,42.4%,(16.7%),(66.1%),(8.3%),(90.9%),(14.3%),(85.7%),,,,,,
5818,38,1021,山形,2-2,A,ＮＤスタ,晴,アビスパ福岡,2018,fuku,井原　正巳,11,4,0,434,12,10,5,6,20,7,19,37,4,3,1,0,30,10,128,8.6%,48.9%,(18.2%),(74.9%),(25.0%),(85.0%),(28.6%),(73.7%),13,4,0,479,16,15,3,5,32,4,24,24,3,5,2,0,36,7,132,9.8%,51.1%,(15.4%),(74.3%),(12.5%),(93.8%),(50.0%),(79.2%),,,,,,
5819,39,1028,金沢,2-2,H,レベスタ,晴,アビスパ福岡,2018,fuku,井原　正巳,12,6,0,452,21,14,0,4,25,8,24,29,2,0,1,0,33,16,143,8.4%,51%,(16.7%),(67.7%),(28.6%),(92.0%),(50.0%),(75.0%),23,6,0,440,18,9,0,10,16,17,16,27,3,0,2,0,47,21,135,17.0%,49%,(8.7%),(68.6%),(11.1%),(87.5%),(47.1%),(75.0%),,,,,,
5820,40,1104,町田,1-2,A,町田,曇,アビスパ福岡,2018,fuku,井原　正巳,8,2,0,297,18,11,0,4,47,13,15,37,2,4,0,0,23,11,150,5.3%,46.8%,(25.0%),(50.8%),(22.2%),(68.1%),(30.8%),(60.0%),4,2,0,367,23,9,4,4,34,17,32,28,3,0,1,0,33,7,140,2.9%,53.2%,(25.0%),(59.1%),(21.7%),(79.4%),(52.9%),(65.6%),,,,,,
5821,41,1111,熊本,1-0,H,レベスタ,晴,アビスパ福岡,2018,fuku,井原　正巳,16,3,0,372,13,10,5,3,10,6,18,36,2,3,0,0,32,15,106,15.1%,43.5%,(6.3%),(73.7%),(23.1%),(90.0%),(83.3%),(77.8%),6,1,0,563,26,9,3,3,22,10,8,19,0,4,1,0,43,6,113,5.3%,56.5%,(0.0%),(79.4%),(11.5%),(86.4%),(60.0%),(100.0%),,,,,,
5822,42,1117,岐阜,0-0,A,長良川,晴,アビスパ福岡,2018,fuku,井原　正巳,15,2,0,545,16,14,0,8,25,17,19,24,0,0,1,0,49,19,132,11.4%,55.9%,(0.0%),(76.7%),(0.0%),(80.0%),(58.8%),(78.9%),14,3,0,394,22,18,0,2,28,18,17,34,1,0,1,0,35,14,137,10.2%,44.1%,(0.0%),(71.1%),(13.6%),(92.9%),(61.1%),(76.5%),,,,,,
5823,1,0224,琉球,1-3,A,タピスタ,曇時々雨,アビスパ福岡,2019,fuku,ファビオ　ペッキア,17,6,1,404,13,10,5,3,27,12,13,17,2,4,2,0,30,17,128,13.3%,42.4%,(17.6%),(71.0%),(23.1%),(85.2%),(41.7%),(61.5%),20,6,0,531,18,12,4,5,23,13,18,14,2,4,2,0,43,22,127,15.7%,57.6%,(5.0%),(79.3%),(38.9%),(87.0%),(61.5%),(66.7%),,,,,2.854,1.855
5824,2,0302,長崎,0-0,H,博多陸,曇,アビスパ福岡,2019,fuku,ファビオ　ペッキア,13,2,0,650,20,13,0,5,22,7,16,23,3,0,3,0,61,15,114,11.4%,60.7%,(0.0%),(82.2%),(35.0%),(95.5%),(42.9%),(43.8%),11,2,0,389,15,15,0,5,16,11,19,30,2,0,0,0,35,13,110,10.0%,39.3%,(0.0%),(69.4%),(13.3%),(100.0%),(54.5%),(73.7%),,,,,0.767,1.968
5825,3,0309,京都,0-1,H,博多陸,晴,アビスパ福岡,2019,fuku,ファビオ　ペッキア,6,1,0,483,10,6,3,2,19,7,18,24,5,3,1,0,28,7,101,5.9%,42.7%,(0.0%),(80.5%),(10.0%),(100.0%),(57.1%),(61.1%),8,4,0,660,2,22,3,2,27,6,12,23,1,3,0,0,28,11,124,6.5%,57.3%,(12.5%),(85.3%),(0.0%),(92.6%),(33.3%),(75.0%),,,,,0.438,0.26
5826,4,0317,岡山,1-2,A,Ｃスタ,晴,アビスパ福岡,2019,fuku,ファビオ　ペッキア,14,6,0,300,12,18,1,3,19,14,16,18,3,5,0,0,32,16,128,10.9%,42.6%,(14.3%),(66.7%),(16.7%),(84.2%),(64.3%),(50.0%),15,3,0,464,8,15,5,5,27,11,19,16,3,1,4,0,32,8,130,11.5%,57.4%,(6.7%),(76.5%),(37.5%),(81.5%),(45.5%),(73.7%),,,,,1.247,1.069
5827,5,0323,新潟,1-0,A,デンカＳ,曇時々晴,アビスパ福岡,2019,fuku,ファビオ　ペッキア,18,3,0,440,20,4,1,2,21,6,22,24,1,4,1,0,45,20,103,17.5%,45.1%,(0.0%),(78.9%),(35.0%),(85.7%),(83.3%),(68.2%),18,3,0,531,23,10,4,7,20,18,12,34,3,0,0,0,56,17,112,16.1%,54.9%,(5.6%),(81.9%),(39.1%),(85.0%),(50.0%),(50.0%),,,,,2.28,1.747
5828,6,0330,千葉,0-1,H,博多陸,晴,アビスパ福岡,2019,fuku,ファビオ　ペッキア,5,1,0,468,6,10,3,2,21,12,13,22,2,2,2,0,29,7,118,4.2%,47.2%,(0.0%),(76.7%),(0.0%),(85.7%),(50.0%),(69.2%),15,5,0,550,14,15,2,7,24,7,20,16,0,3,0,0,43,11,125,12.0%,52.8%,(6.7%),(76.5%),(14.3%),(95.8%),(42.9%),(70.0%),,,,,1.289,0.35
5829,7,0403,栃木,2-1,H,博多陸,晴,アビスパ福岡,2019,fuku,ファビオ　ペッキア,12,5,1,469,19,9,3,13,37,12,21,39,3,1,2,0,34,14,137,8.8%,54.9%,(16.7%),(73.1%),(21.1%),(83.8%),(41.7%),(61.9%),4,3,0,369,11,15,1,5,33,7,18,53,2,3,2,0,24,3,140,2.9%,45.1%,(25.0%),(64.8%),(0.0%),(66.7%),(85.7%),(61.1%),,,,,0.458,2.267
5830,8,0407,横浜FC,1-1,A,ニッパツ,晴,アビスパ福岡,2019,fuku,ファビオ　ペッキア,19,5,1,370,16,14,2,3,23,14,18,18,4,4,1,0,38,14,132,14.4%,45.3%,(5.3%),(69.5%),(31.3%),(69.6%),(50.0%),(55.6%),11,2,1,454,18,12,5,4,15,15,19,38,3,2,4,0,40,12,122,9.0%,54.7%,(9.1%),(75.1%),(16.7%),(86.7%),(60.0%),(52.6%),,,,,1.506,2.76
5831,9,0413,町田,0-2,H,博多陸,晴のち曇,アビスパ福岡,2019,fuku,ファビオ　ペッキア,5,2,0,419,17,15,5,5,41,8,15,31,0,2,4,0,27,6,136,3.7%,61.2%,(0.0%),(70.2%),(35.3%),(87.8%),(50.0%),(73.3%),11,3,0,255,13,16,2,3,27,3,18,37,0,5,1,0,28,7,121,9.1%,38.8%,(18.2%),(59.6%),(23.1%),(77.8%),(66.7%),(61.1%),,,,,1.295,0.578
5832,10,0420,愛媛,2-1,A,ニンスタ,晴,アビスパ福岡,2019,fuku,ファビオ　ペッキア,16,4,0,575,18,14,2,6,22,13,23,18,1,6,0,0,32,12,124,12.9%,57.5%,(6.3%),(80.5%),(16.7%),(100.0%),(53.8%),(82.6%),16,7,0,386,6,8,6,3,17,13,15,36,2,1,4,0,24,7,113,14.2%,42.5%,(12.5%),(76.4%),(50.0%),(94.1%),(30.8%),(60.0%),,,,,1.397,1.194
5833,11,0427,山形,0-1,H,博多陸,晴,アビスパ福岡,2019,fuku,ファビオ　ペッキア,10,2,0,311,7,12,2,6,23,10,15,35,3,2,3,0,22,5,118,8.5%,49%,(0.0%),(66.6%),(14.3%),(87.0%),(40.0%),(46.7%),16,5,0,374,18,15,2,8,33,10,16,26,0,2,0,0,34,18,132,12.1%,51%,(6.3%),(69.0%),(27.8%),(81.8%),(70.0%),(43.8%),,,,,1.887,0.867
5834,12,0503,金沢,1-1,A,石川西部,晴,アビスパ福岡,2019,fuku,ファビオ　ペッキア,16,6,0,400,25,14,2,5,32,6,24,16,1,2,1,0,42,16,128,12.5%,45.9%,(6.3%),(69.3%),(28.0%),(81.3%),(33.3%),(66.7%),6,2,0,504,14,13,2,3,24,9,19,26,0,2,2,1,22,7,127,4.7%,54.1%,(16.7%),(75.6%),(14.3%),(95.8%),(77.8%),(47.4%),,,,,0.554,1.586
5835,13,0511,東京Ｖ,2-3,A,味スタ,晴,アビスパ福岡,2019,fuku,ファビオ　ペッキア,11,4,0,319,10,13,1,5,12,7,23,20,7,4,1,0,20,14,124,8.9%,37.2%,(18.2%),(74.0%),(20.0%),(83.3%),(42.9%),(56.5%),15,3,0,645,20,8,4,4,28,17,15,16,4,1,1,0,49,7,129,11.6%,62.8%,(13.3%),(82.6%),(10.0%),(100.0%),(35.3%),(93.3%),,,,,1.174,1.209
