,選手名,選手名（英語）,最終所属,ポジション,生年月日,身長/体重,url
774,岩渕　良太,Ryota IWABUCHI,藤枝,FW,1990/04/26,174/65,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
775,岩間　慶太,Keita IWAMA,大分,DF,2004/05/17,170/53,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
776,岩間　雄大,Yudai IWAMA,藤枝,MF,1986/02/21,178/71,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
777,岩政　大樹,Daiki IWAMASA,岡山,DF,1982/01/30,187/83,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
778,岩丸　史也,Fumiya IWAMARU,群馬,GK,1981/12/04,185/82,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
779,岩元　愛翔,Aito IWAMOTO,鹿児島,MF,2004/03/14,170/66,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
780,岩本　和希,Kazuki IWAMOTO,讃岐,MF,1997/04/07,174/66,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
781,岩本　和希,Kazuki IWAMOTO,Ｇ大阪,MF,1997/04/07,174/60,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
782,岩本　翔,Sho IWAMOTO,Ｇ大阪,MF,2001/03/18,167/54,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
783,岩本　昇悟,Shogo IWAMOTO,清水,DF,2005/07/09,168/57,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
784,岩本　輝雄,Teruo IWAMOTO,名古屋,MF,1972/05/02,180/74,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
785,岩元　洋成,Hironari IWAMOTO,山形,DF,1970/06/27,167/65,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
786,岩元　颯オリビエ,Ryuolivier IWAMOTO,鳥取,FW,1996/04/03,183/72,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
787,イヴォ,IVO Ulich,神戸,FW,1974/09/05,172/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
788,禹　相皓,WOO Sang Ho,栃木,MF,1992/12/07,174/74,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
789,呉　少聰,WU Shao Cong,京都,DF,2000/03/20,192/74,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
790,ウィリアム　エンリケ,WILLIAM HENRIQUE Rodrigues Da Silva,甲府,FW,1992/01/28,178/74,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
791,ウィリアム　マテウス,WILLIAM MATHEUS da Silva,清水,DF,1990/04/02,181/78,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
792,ウィリアン,WILLIAM Xavier Barbosa,仙台,FW,1983/09/22,189/83,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
793,ウィリアン　ポッピ,WILLIAN POPP,福岡,FW,1994/04/13,178/79,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
794,ウィリアン　リラ,WILLIAN LIRA Sousa,甲府,FW,1993/12/09,185/84,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
795,ウィリアンス（ウィリアン）,WILLIANS Dos Santos Santana,松本,FW,1988/05/22,180/73,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
796,ウィル,WILL Robson Emilio Andrade,大分,FW,1973/12/15,177/76,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
797,ウィルソン・マノ,Wilson Caelos Mano(WILSON MANO),湘南,MF,1964/05/23,182/75,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
798,ウイリアン,WILLIAN Henrique Antunes,鹿児島,MF,1987/02/11,190/85,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
799,ウイルソン,WILSON Rodrigues Fonseca,甲府,FW,1985/03/21,181/75,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
800,ウェズレイ,UESLEI Raimundo Pereira Da Silva,大分,FW,1972/04/19,177/89,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
801,ウェズレイ,WESLLEY Silva Santos Rodrigues,鹿児島,DF,1992/01/16,184/80,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
802,ウェズレー,WESLLEY Smith Alves Feitosa,湘南,FW,1992/04/21,180/72,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
803,ウェリング　ピアス,Pierce WARING,Ｃ大阪,FW,1998/11/18,191/84,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
804,ウェリントン,WELLINGTON Katzor De Oliveira,北九州,MF,1981/09/04,177/72,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
805,ウェリントン,WELLINGTON Luis De Sousa,湘南,FW,1988/02/11,188/90,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
806,ウェリントン　シウバ,Wellington Alves Da Silva(WELLINGTON SILVA),Ｇ大阪,MF,1993/01/06,173/65,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
807,ウェリントン　ジュニオール,WELINTON JUNIOR Ferreira Dos Santos,湘南,FW,1993/06/08,175/67,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
808,ウェリントン　ロシャ,WELLINGTO ROCHA Dos Santos,岐阜,DF,1990/10/04,190/77,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
809,上夷　克典,Katsunori UEEBISU,大分,DF,1996/04/05,181/72,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
810,上岡　陸,Riku UEOKA,愛媛,FW,2001/06/29,165/58,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
811,植草　裕樹,Yuki UEKUSA,清水,GK,1982/07/02,186/80,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
812,上里　一将,Kazumasa UESATO,琉球,MF,1986/03/13,172/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
813,上里　琢文,Takumi UESATO,京都,FW,1990/04/29,174/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
814,上門　知樹,Satoki UEJO,岡山,MF,1997/04/27,166/61,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
815,ウエスクレイ,WESCLEY Gomes Dos Santos,神戸,MF,1991/10/11,173/69,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
816,植竹　優太,Yuta UETAKE,浦和,DF,2005/05/21,182/67,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
817,上田　綺世,Ayase UEDA,鹿島,FW,1998/08/28,182/76,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
818,上田　樹,Itsuki UEDA,金沢,GK,2001/06/28,188/75,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
819,上田　恭平,Kyohei UEDA,Ｃ大阪,DF,1999/05/07,172/62,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
820,植田　啓太,Keita UEDA,栃木,MF,2002/09/03,174/66,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
821,上田　健斗,Kento UEDA,仙台,DF,1998/08/13,184/73,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
822,上田　康太,Kota UEDA,栃木,MF,1986/05/09,174/67,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
823,上田　航平,Kohei UEDA,YS横浜,DF,1998/06/26,172/63,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
824,植田　峻佑,Shunsuke UEDA,宮崎,GK,1988/04/04,182/79,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
825,上田　智輝,Tomoki UEDA,大宮,GK,1996/03/03,181/80,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
826,植田　直通,Naomichi UEDA,鹿島,DF,1994/10/24,186/79,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
827,上田　駿斗,Hayato UEDA,神戸,DF,1998/04/14,179/66,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
828,上田　悠起,Yuki UEDA,横浜FC,MF,1996/09/20,175/62,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
829,植田　龍仁朗,Ryujiro UEDA,熊本,DF,1988/01/29,188/78,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
830,上田　龍朋,Ryuho UEDA,熊本,GK,2001/12/06,180/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
831,上田　陵弥,Ryoya UEDA,琉球,DF,1989/05/02,177/75,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
832,植中　朝日,Asahi UENAKA,長崎,FW,2001/11/01,179/72,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
833,上野　瑛太,Eita UENO,大分,GK,2004/07/14,178/73,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
834,上野　賢人,Kento UENO,相模原,MF,1997/04/03,168/63,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
835,上野　綜太,Sota UENO,川崎Ｆ,FW,2001/01/24,167/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
836,上野　展裕,Nobuhiro UENO,広島,DF,1965/08/26,175/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
837,上野　秀章,Hideaki UENO,徳島,GK,1981/05/31,184/80,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
838,上野　優作,Yusaku UENO,広島,FW,1973/11/01,182/72,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
839,上野　良治,Yoshiharu UENO,横浜FM,MF,1973/04/21,181/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
840,上野山　叶夢,Kanata UENOYAMA,水戸,MF,2004/09/01,172/64,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
841,上畑　佑平士,Uheiji UEHATA,福島,MF,1998/07/25,178/72,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
842,上原　エドウィン（ウエハラ）,Edwin UEHARA,浦和,MF,1969/07/21,169/65,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
843,上原　慎也,Shinya UEHARA,琉球,FW,1986/09/29,186/78,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
844,上原　拓郎,Takuro UEHARA,今治,MF,1991/07/08,177/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
845,上原　牧人,Makito UEHARA,琉球,DF,1998/11/20,182/78,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
846,上原　力也,Rikiya UEHARA,仙台,MF,1996/08/25,174/66,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
847,上松　瑛,Yo UEMATSU,鳥取,DF,1991/09/12,177/65,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
848,植村　映一,Eiichi UEMURA,甲府,MF,1975/12/01,181/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
849,植村　慶,Kei UEMURA,福島,GK,1981/09/24,181/77,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
850,上村　健一,Kenichi UEMURA,熊本,DF,1974/04/22,180/74,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
851,植村　修一,Shuichi UEMURA,京都,GK,1966/12/03,183/82,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
852,植村　晋,Susumu UEMURA,Ｇ大阪,DF,1964/04/09,185/75,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
853,上村　崇士,Takashi UEMURA,千葉,FW,1973/12/02,191/86,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
854,植村　友哉,Tomoya UEMURA,YS横浜,MF,2000/05/19,173/67,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
855,上村　岬,Misaki UEMURA,磐田,MF,1991/10/28,168/73,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
856,上本　大海,Taikai UEMOTO,鹿児島,DF,1982/06/01,180/68,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
857,植本　大貴,Daiki UEMOTO,岡山,DF,2003/07/11,174/69,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
858,ウォン　ドゥジェ,WON Dujae,福岡,DF,1997/11/18,187/81,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
859,魚里　直哉,Naoya UOZATO,鳥取,MF,1995/08/03,167/58,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
860,鵜飼　亮多,Ryota UKAI,群馬,DF,1996/05/28,178/71,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
861,宇賀神　友弥,Tomoya UGAJIN,浦和,MF,1988/03/23,172/71,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
862,浮氣　哲郎,Tetsuro UKI,横浜FC,MF,1971/10/04,177/72,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
863,浮田　健誠,Kensei UKITA,山口,FW,1997/06/12,185/78,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
864,宇佐美　貴史,Takashi USAMI,Ｇ大阪,FW,1992/05/06,178/69,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
865,宇佐美　宏和,Hirokazu USAMI,福島,DF,1987/06/18,171/71,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
866,牛越　大河,Taiga USHIKOSHI,長野,GK,2000/06/04,177/66,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
867,牛之濵　拓,Taku USHINOHAMA,鹿児島,MF,1992/07/14,171/66,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
868,牛鼻　健,Takeshi USHIBANA,福岡,MF,1977/09/21,173/66,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
869,氏家　貴士,Takashi UJIIE,鳥栖,MF,1975/05/20,173/68,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
870,氏家　英行,Hideyuki UJIIE,群馬,MF,1979/02/23,179/71,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
871,氏原　良二,Ryoji UJIHARA,群馬,FW,1981/05/10,184/74,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
872,臼井　貫太,Kanta USUI,Ｇ大阪,DF,1999/10/09,173/61,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
873,碓井　健平,Kempei USUI,町田,GK,1987/05/15,182/76,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
874,臼井　幸平,Kohei USUI,栃木,DF,1979/07/16,167/62,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
875,宇水　聖凌,Seiryo USUI,名古屋,MF,2004/06/17,177/67,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
876,碓井　鉄平,Teppei USUI,富山,MF,1991/11/03,174/68,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
877,臼井　仁志,Hitoshi USUI,岡山,MF,1988/11/05,161/58,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
878,ウスタ,Fuat USTA,大宮,MF,1972/07/03,175/78,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
879,薄葉　迅人,Hayato USUBA,横浜FM,FW,1998/05/18,166/58,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
880,内賀嶋　巧,Takumi UCHIGASHIMA,鳥取,DF,2005/08/30,175/61,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
881,打越　大樹,Taiki UCHIKOSHI,北九州,DF,1996/05/22,168/65,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
882,内薗　大貴,Hirotaka UCHIZONO,宮崎,MF,1987/04/27,179/72,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
883,内田　篤人,Atsuto UCHIDA,鹿島,DF,1988/03/27,176/67,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
884,内田　和志,Kazushi UCHIDA,藤枝,DF,1987/10/09,181/74,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
885,内田　恭兵,Kyohei UCHIDA,長野,DF,1992/11/05,172/63,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
886,内田　健太,Kenta UCHIDA,愛媛,DF,1989/10/02,178/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
887,内田　昂輔,Kosuke UCHIDA,大分,MF,1987/10/02,168/63,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
888,内田　康介,Kosuke UCHIDA,名古屋,MF,2005/07/25,169/62,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
889,内田　航平,Kohei UCHIDA,徳島,MF,1993/05/19,175/69,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
890,内田　修人,Shuto UCHIDA,山口,MF,2001/06/15,172/66,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
891,内田　潤,Jun UCHIDA,新潟,DF,1977/10/14,175/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
892,内田　宅哉,Takuya UCHIDA,FC東京,MF,1998/06/02,177/71,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
893,内田　達也,Tatsuya UCHIDA,群馬,MF,1992/02/08,177/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
894,内田　大貴,Daiki UCHIDA,鳥取,GK,2001/07/19,168/64,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
895,内田　哲兵,Teppei UCHIDA,甲府,MF,1975/05/22,168/60,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
896,内田　利広,Toshihiro UCHIDA,Ｃ大阪,MF,1972/08/12,174/72,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
897,内田　智也,Tomoya UCHIDA,横浜FC,MF,1983/07/10,166/58,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
898,内田　優晟,Yusei UCHIDA,水戸,FW,2004/11/19,179/72,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
899,内田　裕斗,Yuto UCHIDA,鳥栖,DF,1995/04/29,171/62,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
900,内田　錬平,Rempei UCHIDA,富山,DF,1991/04/26,190/78,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
901,内舘　秀樹,Hideki UCHIDATE,浦和,DF,1974/01/15,180/65,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
902,内野　航太郎,Kotaro UCHINO,横浜FM,FW,2004/06/19,181/77,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
903,内野　貴志,Takashi UCHINO,長野,DF,1988/02/15,180/74,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
904,内林　広高,Hirotaka UCHIBAYASHI,甲府,MF,1983/06/27,170/67,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
905,内間　安路,Yasumichi UCHIMA,鳥取,DF,1984/09/10,180/73,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
906,内村　圭宏,Yoshihiro UCHIMURA,札幌,FW,1984/08/24,174/67,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
907,内村　凜太朗,Rintaro UCHIMURA,仙台,MF,1998/10/24,162/58,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
908,内山　圭,Kei UCHIYAMA,熊本,GK,1993/07/19,181/74,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
909,内山　純,Jun UCHIYAMA,山形,MF,2003/07/11,173/65,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
910,内山　俊彦,Toshihiko UCHIYAMA,福島,MF,1989/04/29,172/65,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
911,内山　俊彦,Toshihiko UCHIYAMA,仙台,DF,1978/10/21,180/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
912,内山　裕貴,Yuki UCHIYAMA,鳥取,DF,1995/05/07,183/76,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
913,内海　碧斗,Aoto UTSUMI,横浜FM,FW,2003/07/25,181/72,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
914,内海　柊輝,Shuki UTSUMI,岡山,FW,2003/07/13,165/63,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
915,内海　陽樹,Haruki UTSUMI,広島,DF,2002/04/12,187/75,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%86
