,選手名,選手名（英字）,前所属チーム,生年月日,所属チーム
16,南　雄太,Yuta MINAMI,武蔵ヶ丘ＦＣ－読売日本ＳＣＪｒユース－静岡学園高－柏レイソル－ロアッソ熊本,1979/09/30,横浜ＦＣ
17,伊野波　雅彦,Masahiko INOHA,宮崎東サッカースポーツ少年団－生目台中－鹿児島実業高－阪南大－ＦＣ東京－鹿島アントラーズ－ハイデュク　スプリト／クロアチア－ヴィッセル神戸－ジュビロ磐田－ヴィッセル神戸,1985/08/28,横浜ＦＣ
18,カルフィン　ヨン　ア　ピン,Calvin Ray Jong A Pin(CALVIN JONG A PIN),ＦＣフォレンダム／オランダ－ＳＣヘーレンフェーン／オランダ－フィテッセ／オランダ－ＳＣヘーレンフェーン／オランダ－清水エスパルス－ＦＣ町田ゼルビア,1986/07/18,横浜ＦＣ
19,市川　暉記,Akinori ICHIKAWA,ＦＣ中井－湘南ベルマーレ小田原－星槎国際湘南校－横浜ＦＣ－ガイナーレ鳥取,1998/10/19,横浜ＦＣ
20,岩武　克弥,Katsuya IWATAKE,カティオーラＦＣジュニア－カティオーラＦＣジュニアユース－大分トリニータＵ－１８－明治大－浦和レッズ,1996/06/04,横浜ＦＣ
21,前嶋　洋太,Yota MAEJIMA,横浜ＦＣＪｒユース－横浜ＦＣユース－横浜ＦＣ－カターレ富山－横浜ＦＣ－カターレ富山－横浜ＦＣ－水戸ホーリーホック,1997/08/12,横浜ＦＣ
22,高木　友也,Yuya TAKAGI,バディーＳＣ－バディーＪｒユース－法政大第二高－法政大,1998/05/23,横浜ＦＣ
23,田部井　涼,Ryo TABEI,図南ＳＣ前橋－前橋ＦＣ－前橋育英高－法政大在学中,1999/06/25,横浜ＦＣ
24,韓　浩康,HAN Hogang,京都朝鮮中級学校－京都朝鮮高級学校－朝鮮大学校－モンテディオ山形－ブラウブリッツ秋田－モンテディオ山形－ブラウブリッツ秋田－モンテディオ山形－ブラウブリッツ秋田,1993/09/18,横浜ＦＣ
25,中塩　大貴,Daiki NAKASHIO,加治サッカースポーツ少年団－江南南サッカー少年団－浦和レッズＪｒユース－浦和レッズユース－立正大－ヴァンフォーレ甲府,1997/06/08,横浜ＦＣ
26,猿田　遥己,Haruki SARUTA,ＦＣ大泉学園－横河武蔵野ＦＣジュニア－横河武蔵野ＦＣＪｒユース－柏レイソルＵ－１８－柏レイソル－鹿児島ユナイテッドＦＣ－柏レイソル－ガンバ大阪－柏レイソル,1999/04/23,横浜ＦＣ
27,手塚　康平,Kohei TEZUKA,柏レイソルＵ－１５－柏レイソルＵ－１８－オネハンガスポーツ／ニュージーランド－柏レイソル－横浜ＦＣ－柏レイソル,1996/04/06,横浜ＦＣ
28,杉本　竜士,Ryuji SUGIMOTO,府ロクＳＣ－東京ヴェルディＪｒユース－東京ヴェルディユース－東京ヴェルディ－ＦＣ町田ゼルビア－東京ヴェルディ－名古屋グランパス－徳島ヴォルティス－横浜Ｆ・マリノス－横浜ＦＣ－横浜Ｆ・マリノス,1993/06/01,横浜ＦＣ
29,古宿　理久,Riku FURUYADO,JFC FUTURO－横浜ＦＣＪｒユース－青森山田高,2001/04/18,横浜ＦＣ
30,松尾　佑介,Yusuke MATSUO,戸塚フットボールジュニアクラブ－浦和レッズＪｒユース－浦和レッズユース－仙台大,1997/07/23,横浜ＦＣ
31,渡邉　千真,Kazuma WATANABE,国見ＦＣジュニア－国見中－国見高－早稲田大－横浜Ｆ・マリノス－ＦＣ東京－ヴィッセル神戸－ガンバ大阪,1986/08/10,横浜ＦＣ
32,六反　勇治,Yuji ROKUTAN,スパイダ加治木－ディアマント鹿児島－田崎中－熊本国府高－アビスパ福岡－横浜Ｆ・マリノス－ベガルタ仙台－清水エスパルス－横浜ＦＣ－清水エスパルス,1987/04/10,横浜ＦＣ
0,谷　晃生,Kosei TANI,ガンバ大阪Ｊｒユース－ガンバ大阪ユース－ガンバ大阪－湘南ベルマーレ－ガンバ大阪,2000/11/22,湘南ベルマーレ
1,石原　広教,Hirokazu ISHIHARA,藤沢ＦＣ－湘南ベルマーレジュニア－湘南ベルマーレＵ－１５平塚－湘南ベルマーレユース－湘南ベルマーレ－アビスパ福岡,1999/02/26,湘南ベルマーレ
2,舘　幸希,Koki TACHI,鈴西サッカースポーツ少年団－伊賀ＦＣＪｒユース－四日市中央工高－日本大,1997/12/14,湘南ベルマーレ
3,古林　将太,Shota KOBAYASHI,湘南ベルマーレジュニア－湘南ベルマーレＪｒユース－湘南ベルマーレユース－湘南ベルマーレ－ザスパ草津－湘南ベルマーレ－名古屋グランパス－ベガルタ仙台－名古屋グランパス－ベガルタ仙台,1991/05/11,湘南ベルマーレ
4,岡本　拓也,Takuya OKAMOTO,道祖土サッカー少年団－浦和レッズＪｒユース－浦和レッズユース－浦和レッズ－Ｖ・ファーレン長崎－浦和レッズ－Ｖ・ファーレン長崎－浦和レッズ－湘南ベルマーレ－浦和レッズ－湘南ベルマーレ－浦和レッズ－湘南ベルマーレ－浦和レッズ,1992/06/18,湘南ベルマーレ
5,梅崎　司,Tsukasa UMESAKI,キックスＦＣ－大分トリニータＵ－１８－大分トリニータ－グルノーブルフット３８／フランス－大分トリニータ－浦和レッズ,1987/02/23,湘南ベルマーレ
6,大野　和成,Kazunari OHNO,春日中－アルビレックス新潟ユース－アルビレックス新潟－愛媛ＦＣ－アルビレックス新潟－湘南ベルマーレ－アルビレックス新潟－湘南ベルマーレ－アルビレックス新潟,1989/08/04,湘南ベルマーレ
7,ウェリントン,WELLINGTON Luis De Sousa,インテルナシオナル／ブラジル－サンカエターノ／ブラジル－ナウチコ／ブラジル－ホッフェンハイム／ドイツ－ＦＣトゥエンテ／オランダ－デュッセルドルフ／ドイツ－フィゲレンセ／ブラジル－ゴイアスＥＣ／ブラジル－ペロタス／ブラジル－湘南ベルマーレ－ポンチプレッタ／ブラジル－アビスパ福岡－ヴィッセル神戸－ボタフォゴＳＰ／ブラジル,1988/02/11,湘南ベルマーレ
8,山田　直輝,Naoki YAMADA,北浦和サッカースポーツ少年団－浦和レッズＪｒユース－浦和レッズユース－浦和レッズ－湘南ベルマーレ－浦和レッズ－湘南ベルマーレ－浦和レッズ－湘南ベルマーレ－浦和レッズ－湘南ベルマーレ－浦和レッズ,1990/07/04,湘南ベルマーレ
9,タリク,TARIK El Younoussi,フレンドリクスタＦＫ／ノルウェー－ＳＣヘーレンフェーン／オランダ－リールストロムＳＫ／ノルウェー－ＳＣヘーレンフェーン／オランダ－フレドリクスタＦＫ／ノルウェー－ローゼンボリＢＫ／ノルウェー－ホッフェンハイム／ドイツ－オリンピアコス／ギリシャ－カラバフＦＫ／アゼルバイジャン－ＡＩＫソルナ／スウェーデン,1988/02/23,湘南ベルマーレ
10,石原　直樹,Naoki ISHIHARA,片岡中－高崎経済大付属高－湘南ベルマーレ－大宮アルディージャ－サンフレッチェ広島－浦和レッズ－ベガルタ仙台－浦和レッズ－ベガルタ仙台,1984/08/14,湘南ベルマーレ
11,茨田　陽生,Akimi BARADA,柏レイソルＵ－１２－柏レイソルＵ－１５－柏レイソルＵ－１８－柏レイソル－大宮アルディージャ,1991/05/30,湘南ベルマーレ
12,山本　脩斗,Shuto YAMAMOTO,盛岡商高－早稲田大－ジュビロ磐田－鹿島アントラーズ,1985/06/01,湘南ベルマーレ
13,大橋　祐紀,Yuki OHASHI,常盤平ＳＣ－柏イーグルス－ジェフユナイテッド千葉Ｕ－１５－八千代高－中央大,1996/07/27,湘南ベルマーレ
14,平松　昇,Sho HIRAMATSU,島田第一サッカースポーツ少年団－清水エスパルスＪｒユース－清水エスパルスユース－立正大,1998/11/26,湘南ベルマーレ
15,毛利　駿也,Shunya MOURI,ＳＱＵＡＲＥ富山－山梨学院大附属高－順天堂大－ツエーゲン金沢,1995/04/10,湘南ベルマーレ
16,名古　新太郎,Shintaro NAGO,大阪東淀川ＦＣ－静岡学園高－順天堂大－鹿島アントラーズ,1996/04/17,湘南ベルマーレ
17,堀田　大暉,Daiki HOTTA,ベガルタ仙台Ｊｒユース－ベガルタ仙台ユース－東海大－福島ユナイテッドＦＣ－湘南ベルマーレ－ツエーゲン金沢,1994/10/05,湘南ベルマーレ
18,大岩　一貴,Kazuki OIWA,熱田少年ＳＣ－名古屋ＦＣ－中京大付属中京高－中央大－ジェフユナイテッド千葉－ベガルタ仙台,1989/08/17,湘南ベルマーレ
19,富居　大樹,Daiki TOMII,浦和レッズＪｒユース－武南高－東京国際大－ザスパクサツ群馬－モンテディオ山形,1989/08/27,湘南ベルマーレ
20,中村　駿,Shun NAKAMURA,習志野高－駒澤大－ザスパクサツ群馬－モンテディオ山形,1994/02/24,湘南ベルマーレ
21,畑　大雅,Taiga HATA,松林少年ＳＣ－ＡＺ８６東京青梅ジュニア－ＡＺ８６東京青梅－市立船橋高,2002/01/20,湘南ベルマーレ
22,池田　昌生,Masaki IKEDA,セレッソ大阪Ｕ－１５－東山高－福島ユナイテッドＦＣ,1999/07/08,湘南ベルマーレ
23,平岡　大陽,Taiyo HIRAOKA,長尾ウオーズＦＣ－セレッソ大阪西Ｕ－１５－履正社高,2002/09/14,湘南ベルマーレ
24,三幸　秀稔,Hidetoshi MIYUKI,市川中央リトルキッズ－ＪＦＡアカデミー福島－ヴァンフォーレ甲府－ＳＣ相模原－レノファ山口ＦＣ,1993/05/23,湘南ベルマーレ
25,柴田　壮介,Sosuke SHIBATA,FCグランツ梅田－湘南ベルマーレＵ－１５平塚－湘南ベルマーレＵ－１８,2001/05/26,湘南ベルマーレ
26,立川　小太郎,Kotaro TACHIKAWA,富田ＳＳＳ－富田中－初芝橋本高－大阪体育大－ＡＣ長野パルセイロ,1997/01/04,湘南ベルマーレ
27,田中　聡,Satoshi TANAKA,長野ＦＣガーフＪｒ．－ＡＣ長野パルセイロＵ－１５－湘南ベルマーレＵ－１８,2002/08/13,湘南ベルマーレ
28,町野　修斗,Shuto MACHINO,ＦＣ中瀬ＳＳ－ＦＣアヴェニーダソル－履正社高－横浜Ｆ・マリノス－ギラヴァンツ北九州－横浜Ｆ・マリノス－ギラヴァンツ北九州,1999/09/30,湘南ベルマーレ
29,蓑田　広大,Kodai MINODA,鶴見東ＦＣ－大豆戸ＦＣＪｒユース－青森山田高－法政大在学中,1999/08/10,湘南ベルマーレ
30,原　直生,Naoki HARA,ＦＣ．ＣＥＤＡＣジュニア－ＦＣ．ＣＥＤＡＣ　Ｊｒユース,2003/07/22,湘南ベルマーレ
31,石井　大生,Taisei ISHII,大道ＳＣ－湘南ベルマーレＵ－１５平塚,2003/12/29,湘南ベルマーレ
32,根本　凌,Ryo NEMOTO,茅ヶ崎小和田ＦＣ－シュートＪｒユースＦＣ－上田西高－鹿屋体育大在学中,2000/02/03,湘南ベルマーレ
33,石川　玄大,Gendai ISHIKAWA,東台真鶴ＦＣ－湘南ベルマーレＵ－１５平塚,2003/06/23,湘南ベルマーレ
34,ウェリントン　ジュニオール,WELINTON JUNIOR Ferreira Dos Santos,ゴイアスＥＣ／ブラジル－ジョインビレ／ブラジル－パイサンドゥＳＣ／ブラジル－ジョインビレＳＣ／ブラジル－ＣＲＢ／ブラジル－ジョインビレＳＣ／ブラジル－パイサンドゥ／ブラジル－ミラソルＦＣ／ブラジル－フェホビアーリア／ブラジル－ブラジルＲＳ／ブラジル－コリチーバＦＣ／ブラジル－デポルティーボ　アベス／ポルトガル－ポルティモネンセＳＣ／ポルトガル,1993/06/08,湘南ベルマーレ
35,オリベイラ,Riuler De OLIVEIRA Faustino,コリチーバＦＣ／ブラジル－アトレチコ　パラナエンセ／ブラジル－インテルナシオナル／ブラジル－Ｊ．ＦＣ宮崎－湘南ベルマーレ－ＦＣ大阪,1998/01/25,湘南ベルマーレ
36,高橋　諒,Ryo TAKAHASHI,国見中－国見高－明治大－名古屋グランパス－湘南ベルマーレ－名古屋グランパス－湘南ベルマーレ－松本山雅ＦＣ,1993/07/16,湘南ベルマーレ
0,大久保　択生,Takuo OKUBO,帝京中－帝京高－横浜ＦＣ－ジェフユナイテッド千葉－Ｖ・ファーレン長崎－ＦＣ東京－サガン鳥栖,1989/09/18,清水エスパルス
1,立田　悠悟,Yugo TATSUTA,入江サッカースポーツ少年団－清水クラブＳＳ－清水エスパルスＪｒユース－清水エスパルスユース,1998/06/21,清水エスパルス
2,ウィリアム　マテウス,WILLIAM MATHEUS da Silva,フィゲイレンセＦＣ／ブラジル－ボタフォゴＤＦ／ブラジル－フィゲイレンセＦＣ／ブラジル－トンベンセＦＣ／ブラジル－フィゲイレンセＦＣ／ブラジル－ボカ　ジュニオールＦＣ／ブラジル－ＥＣデモクラータ／ブラジル－ボカ　ジュニオールＦＣ／ブラジル－ＥＣバイーア／ブラジル－ボカ　ジュニオールＦＣ／ブラジル－ＣＲバスコダガマ／ブラジル－ボカ　ジュニオールＦＣ／ブラジル－ゴイアスＦＣ／ブラジル－ボカ　ジュニオールＦＣ／ブラジル－ＳＥパルメイラス／ブラジル－トゥールーズＦＣ／フランス－フルミネンセＦＣ／ブラジル－トゥールーズＦＣ／フランス－コリチーバＦＣ／ブラジル－グアラニＦＣ／ブラジル－コリチーバＦＣ／ブラジル,1990/04/02,清水エスパルス
3,原　輝綺,Teruki HARA,市立船橋高－アルビレックス新潟－サガン鳥栖,1998/07/30,清水エスパルス
4,ヴァウド,De Jesus Santos Andrevaldo(VALDO),ＡＤコンフィアンサ／ブラジル－ボタフォゴＦＣ／ブラジル－ＡＤコンフィアンサ／ブラジル－セアラーＳＣ／ブラジル,1992/02/10,清水エスパルス
5,竹内　涼,Ryo TAKEUCHI,浜松竜禅寺ＦＣ－浜松ＪＦＣ－浜松開誠館中－浜松開誠館高－清水エスパルス－ギラヴァンツ北九州,1991/03/08,清水エスパルス
6,片山　瑛一,Eiichi KATAYAMA,川越高－早稲田大－ファジアーノ岡山－セレッソ大阪,1991/11/30,清水エスパルス
7,石毛　秀樹,Hideki ISHIGE,富士第一ＳＳＳ－清水エスパルスＪｒユース－清水エスパルスユース－清水エスパルス－ファジアーノ岡山,1994/09/21,清水エスパルス
8,チアゴ　サンタナ,Thiago Santos Santana(THIAGO SANTANA),サンカルロスＦＣ／ブラジル－カシアス　ド　スル／ブラジル－サンカルロスＦＣ／ブラジル－ヘルマン　アイヒンガー／ブラジル－サンカルロスＦＣ／ブラジル－フィゲイレンセＦＣ／ブラジル－サンカルロスＦＣ／ブラジル－ナウチコ／ブラジル－サンカルロスＦＣ／ブラジル－ヴィトーリアＦＣ／ポルトガル－サンカルロスＦＣ／ブラジル－ＣＤサンタクララ／ポルトガル－サンカルロスＦＣ／ブラジル－ＣＤサンタクララ／ポルトガル,1993/02/04,清水エスパルス
9,カルリーニョス　ジュニオ,Carlos Antonio De Souza Junior(CARLINHOS JUNIOR),パラナ　クルーベ／ブラジル－ボタフォゴＦＣ／ブラジル－ＦＣルガーノ／スイス,1994/08/08,清水エスパルス
10,中山　克広,Katsuhiro NAKAYAMA,都筑サッカー友の会－横浜ＦＣＪｒユース－麻布大渕野辺高－専修大－横浜ＦＣ,1996/07/17,清水エスパルス
11,宮本　航汰,Kota MIYAMOTO,清水エスパルスＪｒユース－清水エスパルスユース－清水エスパルス－Ｖ・ファーレン長崎－清水エスパルス－Ｖ・ファーレン長崎－清水エスパルス－ＦＣ岐阜－清水エスパルス－ＦＣ岐阜,1996/06/19,清水エスパルス
12,後藤　優介,Yusuke GOTO,鹿屋東中－大分トリニータＵ－１８－大分トリニータ－ＨＯＹＯ　ＡＣ　ＥＬＡＮ　大分－大分トリニータ,1993/04/23,清水エスパルス
13,西澤　健太,Kenta NISHIZAWA,カワハラＦＣ－清水エスパルスＪｒユース－清水エスパルスユース－筑波大,1996/09/06,清水エスパルス
14,河井　陽介,Yosuke KAWAI,青島ＳＳＳ－藤枝東ＦＣ－藤枝東高－慶応大,1989/08/04,清水エスパルス
15,エウシーニョ,Elson Ferreira De Souza(ELSINHO),ＳＣジーナス／ブラジル－ビリェナ／ブラジル－グレミオ　マリンガ／ブラジル－ヘモ／ブラジル－ナショナルＭＧ／ブラジル－ＣＲＢ／ブラジル－フィゲレンセＦＣ／ブラジル－ヴァスコ　ダ　ガマ／ブラジル－アメリカ　ミネイロ／ブラジル－川崎フロンターレ,1989/11/30,清水エスパルス
16,ディサロ　燦シルヴァーノ,Akira Silvano DISARO'(Akira Silvano DISARO'),バディＳＣ－チェドラテーゼ－三菱養和ＳＣ巣鴨－三菱養和ＳＣユース－法政大－ギラヴァンツ北九州,1996/04/02,清水エスパルス
17,中村　慶太,Keita NAKAMURA,増穂ＦＣ－正木ＦＣ－アルティスタＦＣ－流通経済大付属柏高－流通経済大－ＡＣＢＢ／フランス－流通経済大－Ｖ・ファーレン長崎,1993/06/30,清水エスパルス
18,奥井　諒,Ryo OKUI,ガンバ大阪ジュニア－ガンバ大阪Ｊｒユース－履正社高－早稲田大－ヴィッセル神戸－大宮アルディージャ,1990/03/07,清水エスパルス
19,ヘナト　アウグスト,Santos Junior RENATO AUGUSTO,ＳＥパルメイラス／ブラジル－モレイレンセ／ポルトガル－パルメイラス／ブラジル－ジョインビレＥＣ／ブラジル－ＡＡポンチ　プレッタ／ブラジル－フィゲイレンセＦＣ／ブラジル－エスポート　サント　アンド／ブラジル－パイサンドゥＳＣ／ブラジル,1992/01/29,清水エスパルス
20,鈴木　唯人,Yuito SUZUKI,横浜Ｆ・マリノスプライマリー追浜－葉山中－市立船橋高,2001/10/25,清水エスパルス
21,永井　堅梧,Kengo NAGAI,新座片山ＦＣ少年団－三菱養和巣鴨Ｊｒユース－三菱養和ＳＣ－松本山雅ＦＣ－カターレ富山－松本山雅ＦＣ－カターレ富山－松本山雅ＦＣ－カターレ富山－松本山雅ＦＣ－カターレ富山－松本山雅ＦＣ－徳島ヴォルティス－松本山雅ＦＣ－ギラヴァンツ北九州－松本山雅ＦＣ,1994/11/06,清水エスパルス
22,滝　裕太,Yuta TAKI,ＦＣアスルクラロ沼津－清水エスパルスＪｒユース－清水エスパルスユース－清水エスパルス－カターレ富山,1999/08/29,清水エスパルス
23,指宿　洋史,Hiroshi IBUSUKI,柏レイソルＪｒユース－柏レイソルユース－ジローナＦＣ／スペイン－レアル　サラゴサＢ／スペイン－ＣＥサバデル／スペイン－セビージャＢ／スペイン－セビージャ／スペイン－ＫＡＳオイペン／ベルギー－バレンシア　メスタージャ／スペイン－アルビレックス新潟－ジェフユナイテッド千葉－湘南ベルマーレ,1991/02/27,清水エスパルス
24,福森　直也,Naoya FUKUMORI,吹田千里ＦＣ－セレッソ大阪Ｕ－１５－金光大阪高－関西学院大－大分トリニータ,1992/08/29,清水エスパルス
25,金子　翔太,Shota KANEKO,今市第三カルナヴァル－ＪＦＡアカデミー福島－清水エスパルス－栃木ＳＣ,1995/05/02,清水エスパルス
26,福井　レオナルド　明,Dos Santos FUKUI REONARDO AKIRA,清水エスパルスＪｒユース,2003/05/03,清水エスパルス
27,ノリエガ　エリック,Noriega Loret De Mola Erick Carlos(NORIEGA ERICK),クラブ　アリアンサ　リマ／ペルー－清水エスパルスユース－清水エスパルス－ＦＣ町田ゼルビア,2001/10/22,清水エスパルス
28,栗原　イブラヒム　ジュニア,Ibrahim Junior KURIBARA,栗の実ＳＣ－三菱養和ＳＣ巣鴨ジュニア－三菱養和ＳＣ巣鴨Ｊｒユース－三菱養和ＳＣユース－清水エスパルス－アスルクラロ沼津,2001/08/14,清水エスパルス
29,権田　修一,Shuichi GONDA,さぎぬまＳＣ－ＦＣ東京Ｕ－１５－ＦＣ東京Ｕ－１８－ＦＣ東京－ＳＶホルン／オーストリア－サガン鳥栖－ポルティモネンセＳＣ／ポルトガル,1989/03/03,清水エスパルス
30,山原　怜音,Reon YAMAHARA,筑波大在学中,1999/06/08,清水エスパルス
31,成岡　輝瑠,Hikaru NARUOKA,ＳＥＮＡ.ＦＣ－清水エスパルスＪｒユース－清水エスパルスユース,2002/07/28,清水エスパルス
32,中島　惇希,Atsuki NAKAJIMA,フォルトゥナＳＣ,2003/04/15,清水エスパルス
33,加藤　拓己,Takumi KATO,早稲田大在学中,1999/07/16,清水エスパルス
34,鈴木　義宜,Yoshinori SUZUKI,広瀬サッカースポーツ少年団－宮崎日大中－宮崎日大高－宮崎産業経営大－大分トリニータ,1992/09/11,清水エスパルス
0,ランゲラック,Mitchell James LANGERAK,メルボルンビクトリー／オーストラリア－サウス　メルボルンＦ／オーストラリア－メルボルンビクトリー／オーストラリア－ボルシア　ドルトムント／ドイツ－ＶｆＢシュトゥットガルト／ドイツ－レバンテＵＤ／スペイン,1988/08/22,名古屋グランパス
1,米本　拓司,Takuji YONEMOTO,瑞穂ＳＣ－伊丹ＦＣ－伊丹高－ＦＣ東京,1990/12/03,名古屋グランパス
2,丸山　祐市,Yuichi MARUYAMA,バディＳＣ－ＦＣ東京Ｕ－１５－国学院久我山高－明治大－ＦＣ東京－湘南ベルマーレ－ＦＣ東京,1989/06/16,名古屋グランパス
3,中谷　進之介,Shinnosuke NAKATANI,柏レイソルＵ－１２－柏レイソルＵ－１５－柏レイソルＵ－１８－柏レイソル,1996/03/24,名古屋グランパス
4,長澤　和輝,Kazuki NAGASAWA,ちはら台ＳＣ－三井千葉ＳＣ－八千代高－専修大－１．ＦＣケルン／ドイツ－浦和レッズ－ジェフユナイテッド千葉－浦和レッズ,1991/12/16,名古屋グランパス
5,宮原　和也,Kazuya MIYAHARA,佐東ＦＣ－サンフレッチェ広島Ｊｒユース－サンフレッチェ広島ユース－サンフレッチェ広島－名古屋グランパス－サンフレッチェ広島－名古屋グランパス－サンフレッチェ広島,1996/03/22,名古屋グランパス
6,阿部　浩之,Hiroyuki ABE,高田ＦＣ－大阪桐蔭高－関西学院大－ガンバ大阪－川崎フロンターレ,1989/07/05,名古屋グランパス
7,柿谷　曜一朗,Yoichiro KAKITANI,セレッソ大阪Ｕ－１２－セレッソ大阪Ｕ－１５－セレッソ大阪Ｕ－１８－セレッソ大阪－徳島ヴォルティス－セレッソ大阪－徳島ヴォルティス－セレッソ大阪－徳島ヴォルティス－セレッソ大阪－ＦＣバーゼル／スイス－セレッソ大阪,1990/01/03,名古屋グランパス
8,山﨑　凌吾,Ryogo YAMASAKI,ヒーロ備前Ｊｒユース－玉野光南高－福岡大－サガン鳥栖－徳島ヴォルティス－サガン鳥栖－徳島ヴォルティス－湘南ベルマーレ,1992/09/20,名古屋グランパス
9,ガブリエル　シャビエル,Gabriel Augusto Xavier(GABRIEL XAVIER),ポルトゲーザ／ブラジル－クルゼイロＥＣ／ブラジル－スポルトクラブドレーフェ／ブラジル－クルゼイロＥＣ／ブラジル－ヴィトーリア／ブラジル－クルゼイロＥＣ／ブラジル－名古屋グランパス－クルゼイロＥＣ／ブラジル－名古屋グランパス－クルゼイロEC／ブラジル,1993/07/15,名古屋グランパス
10,相馬　勇紀,Yuki SOMA,布田ＳＣ－三菱養和調布ＳＳ－三菱養和ＳＣ調布Ｊｒユース－三菱養和ＳＣユース－早稲田大－名古屋グランパス－鹿島アントラーズ,1997/02/25,名古屋グランパス
11,藤井　陽也,Haruya FUJII,ヒカリＦＣ－グランパスみよし－名古屋グランパスＵ－１２－名古屋グランパスＵ１５－名古屋グランパスＵ－１８,2000/12/26,名古屋グランパス
12,木本　恭生,Yasuki KIMOTO,富士見台サッカースポーツ少年団－静岡学園中－静岡学園高－福岡大－セレッソ大阪,1993/08/06,名古屋グランパス
13,稲垣　祥,Sho INAGAKI,大泉西ハリケーン－サウスユーベＦＣ－ＦＣ東京Ｕ－１５むさし－帝京高－日本体育大－ヴァンフォーレ甲府－サンフレッチェ広島,1991/12/25,名古屋グランパス
14,マテウス,MATEUS Dos Santos Castro,ＥＣバイーア／ブラジル－大宮アルディージャ－ＥＣバイーア／ブラジル－大宮アルディージャ－名古屋グランパス－横浜Ｆ・マリノス,1994/09/11,名古屋グランパス
15,森下　龍矢,Ryoya MORISHITA,掛川ＪＦＣ０１－ジュビロＳＳ掛川－ジュビロ磐田Ｕ－１８－明治大－サガン鳥栖,1997/04/11,名古屋グランパス
16,渋谷　飛翔,Tsubasa SHIBUYA,ミッキーＳＣ－ヴェルディＳＳレスチ－関東第一高－横浜ＦＣ,1995/01/27,名古屋グランパス
17,齋藤　学,Manabu SAITO,横浜Ｆ・マリノスプライマリー－横浜Ｆ・マリノスＪｒユース－横浜Ｆ・マリノスユース－横浜Ｆ・マリノス－愛媛ＦＣ－横浜Ｆ・マリノス－川崎フロンターレ,1990/04/04,名古屋グランパス
18,武田　洋平,Yohei TAKEDA,枚方フジタＳＣ－大津中－大津高－清水エスパルス－アルビレックス新潟－清水エスパルス－ガンバ大阪－清水エスパルス－セレッソ大阪－大分トリニータ,1987/06/30,名古屋グランパス
19,三井　大輝,Daiki MITSUI,日進ＳＳＳ－名古屋グランパスＵ－１２－名古屋グランパスＵ－１５－名古屋グランパスＵ－１８,2001/05/27,名古屋グランパス
20,吉田　豊,Yutaka YOSHIDA,富士根南ＳＳＳ－リベルダージＦＣ－静岡学園高－ヴァンフォーレ甲府－清水エスパルス－サガン鳥栖,1990/02/17,名古屋グランパス
21,石田　凌太郎,Ryotaro ISHIDA,名古屋グランパスＵ－１２－名古屋グランパスＵ－１５－名古屋グランパスＵ－１８,2001/12/13,名古屋グランパス
22,前田　直輝,Naoki MAEDA,北浦和サッカースポーツ少年団－東京ヴェルディ１９６９ジュニア－東京ヴェルディＪｒユース－東京ヴェルディユース－東京ヴェルディ－松本山雅ＦＣ－東京ヴェルディ－横浜Ｆ・マリノス－松本山雅ＦＣ,1994/11/17,名古屋グランパス
23,成瀬　竣平,Shumpei NARUSE,瀬戸FCジュニア－名古屋グランパスＵ１５－名古屋グランパスＵ－１８,2001/01/17,名古屋グランパス
24,児玉　駿斗,Shunto KODAMA,摂津ＦＣ－ＬＥＯ　ＳＣ－中央学院高－東海学園大,1998/12/03,名古屋グランパス
25,吉田　晃,Akira YOSHIDA,小倉南ＦＣジュニア－小倉南ＦＣ－九州国際大付属高,2001/07/09,名古屋グランパス
26,甲田　英將,Hidemasa KODA,川島サッカー少年団－名古屋グランパスＵ－１２－名古屋グランパスＵ－１５,2003/10/02,名古屋グランパス
27,吉田　温紀,Haruki YOSHIDA,アレグロッソ桜島－名古屋グランパスＵ－１５,2003/04/29,名古屋グランパス
28,金崎　夢生,Mu KANAZAKI,滝川二高－大分トリニータ－名古屋グランパス－１．ＦＣニュルンベルク／ドイツ－ポルティモネンセＳＣ／ポルトガル－鹿島アントラーズ－ポルティモネンセＳＣ／ポルトガル－鹿島アントラーズ－サガン鳥栖－名古屋グランパス－サガン鳥栖,1989/02/16,名古屋グランパス
0,東口　順昭,Masaaki HIGASHIGUCHI,ＦＣＯＷＬＳＩＮＴＥＲ．ＨＩＲＯＮＯ－ガンバ大阪Ｊｒユース－洛南高－福井工大－新潟経営大－アルビレックス新潟,1986/05/12,ガンバ大阪
1,昌子　源,Gen SHOJI,フレスカ神戸Ｕ－１２－ガンバ大阪Ｊｒユース－米子北高－鹿島アントラーズ－トゥールーズＦＣ／フランス,1992/12/11,ガンバ大阪
2,藤春　廣輝,Hiroki FUJIHARU,クサカＳＳ－ＥＸＥ’９０ＦＣ－東海大仰星高－大阪体育大,1988/11/28,ガンバ大阪
3,三浦　弦太,Genta MIURA,ＦＣ豊橋デューミラン－大阪桐蔭高－清水エスパルス,1995/03/01,ガンバ大阪
4,チュ　セジョン,JU Se Jong,建国大／大韓民国－釜山アイパーク／大韓民国－ＦＣソウル／大韓民国－牙山ムグンファＦＣ／大韓民国－ＦＣソウル／大韓民国,1990/10/30,ガンバ大阪
5,小野瀬　康介,Kosuke ONOSE,ミッキーＳＣ－横浜ＦＣＪｒユース－横浜ＦＣユース－横浜ＦＣ－レノファ山口ＦＣ,1993/04/22,ガンバ大阪
