,選手名,選手名（英字）,生年月日,所属チーム,前所属チーム1,前所属チーム2,前所属チーム3,前所属チーム4,前所属チーム5,前所属チーム6,前所属チーム7,前所属チーム8,前所属チーム9,前所属チーム10,前所属チーム11,前所属チーム12,前所属チーム13,前所属チーム14,前所属チーム15,前所属チーム16,前所属チーム17,前所属チーム18,前所属チーム19,前所属チーム20,前所属チーム21
272,安永　玲央,Reo YASUNAGA,2000/11/19,横浜ＦＣ,カターレ富山,横浜ＦＣ,横浜ＦＣユース,川崎フロンターレＵ-１５,やはたＦＣ,,,,,,,,,,,,,,,,
273,伊藤　翔,Sho ITO,1988/07/24,横浜ＦＣ,鹿島アントラーズ,横浜Ｆ・マリノス,清水エスパルス,グルノーブルフット３８／フランス,中京大付属中京高,ＦＣ　ＦＥＲＶＯＲ愛知,,,,,,,,,,,,,,,
274,武田　英二郎,Eijiro TAKEDA,1988/07/11,横浜ＦＣ,湘南ベルマーレ,横浜Ｆ・マリノス,アビスパ福岡,横浜Ｆ・マリノス,ガイナーレ鳥取,横浜Ｆ・マリノス,ジェフユナイテッド千葉,横浜Ｆ・マリノス,青山学院大,横浜Ｆ・マリノスユース,横浜Ｆ・マリノスＪｒユース,ＦＣ中原,,,,,,,,,
275,南　雄太,Yuta MINAMI,1979/09/30,横浜ＦＣ,ロアッソ熊本,柏レイソル,静岡学園高,読売日本ＳＣＪｒユース,武蔵ヶ丘ＦＣ,,,,,,,,,,,,,,,,
276,伊野波　雅彦,Masahiko INOHA,1985/08/28,横浜ＦＣ,ヴィッセル神戸,ジュビロ磐田,ヴィッセル神戸,ハイデュク　スプリト／クロアチア,鹿島アントラーズ,ＦＣ東京,阪南大,鹿児島実業高,生目台中,宮崎東サッカースポーツ少年団,,,,,,,,,,,
277,カルフィン　ヨン　ア　ピン,Calvin Ray Jong A Pin(CALVIN JONG A PIN),1986/07/18,横浜ＦＣ,ＦＣ町田ゼルビア,清水エスパルス,ＳＣヘーレンフェーン／オランダ,フィテッセ／オランダ,ＳＣヘーレンフェーン／オランダ,ＦＣフォレンダム／オランダ,,,,,,,,,,,,,,,
278,市川　暉記,Akinori ICHIKAWA,1998/10/19,横浜ＦＣ,ガイナーレ鳥取,横浜ＦＣ,星槎国際湘南校,湘南ベルマーレ小田原,ＦＣ中井,,,,,,,,,,,,,,,,
279,岩武　克弥,Katsuya IWATAKE,1996/06/04,横浜ＦＣ,浦和レッズ,明治大,大分トリニータＵ-１８,カティオーラＦＣジュニアユース,カティオーラＦＣジュニア,,,,,,,,,,,,,,,,
280,前嶋　洋太,Yota MAEJIMA,1997/08/12,横浜ＦＣ,水戸ホーリーホック,横浜ＦＣ,カターレ富山,横浜ＦＣ,カターレ富山,横浜ＦＣ,横浜ＦＣユース,横浜ＦＣＪｒユース,,,,,,,,,,,,,
281,高木　友也,Yuya TAKAGI,1998/05/23,横浜ＦＣ,法政大,法政大第二高,バディーＪｒユース,バディーＳＣ,,,,,,,,,,,,,,,,,
282,田部井　涼,Ryo TABEI,1999/06/25,横浜ＦＣ,法政大在学中,前橋育英高,前橋ＦＣ,図南ＳＣ前橋,,,,,,,,,,,,,,,,,
283,韓　浩康,HAN Hogang,1993/09/18,横浜ＦＣ,ブラウブリッツ秋田,モンテディオ山形,ブラウブリッツ秋田,モンテディオ山形,ブラウブリッツ秋田,モンテディオ山形,朝鮮大学校,京都朝鮮高級学校,京都朝鮮中級学校,,,,,,,,,,,,
284,中塩　大貴,Daiki NAKASHIO,1997/06/08,横浜ＦＣ,ヴァンフォーレ甲府,立正大,浦和レッズユース,浦和レッズＪｒユース,江南南サッカー少年団,加治サッカースポーツ少年団,,,,,,,,,,,,,,,
285,猿田　遥己,Haruki SARUTA,1999/04/23,横浜ＦＣ,柏レイソル,ガンバ大阪,柏レイソル,鹿児島ユナイテッドＦＣ,柏レイソル,柏レイソルＵ-１８,横河武蔵野ＦＣＪｒユース,横河武蔵野ＦＣジュニア,ＦＣ大泉学園,,,,,,,,,,,,
286,手塚　康平,Kohei TEZUKA,1996/04/06,横浜ＦＣ,柏レイソル,横浜ＦＣ,柏レイソル,オネハンガスポーツ／ニュージーランド,柏レイソルＵ-１８,柏レイソルＵ-１５,,,,,,,,,,,,,,,
287,杉本　竜士,Ryuji SUGIMOTO,1993/06/01,横浜ＦＣ,横浜Ｆ・マリノス,横浜ＦＣ,横浜Ｆ・マリノス,徳島ヴォルティス,名古屋グランパス,東京ヴェルディ,ＦＣ町田ゼルビア,東京ヴェルディ,東京ヴェルディユース,東京ヴェルディＪｒユース,府ロクＳＣ,,,,,,,,,,
288,古宿　理久,Riku FURUYADO,2001/04/18,横浜ＦＣ,青森山田高,横浜ＦＣＪｒユース,JFC FUTURO,,,,,,,,,,,,,,,,,,
289,松尾　佑介,Yusuke MATSUO,1997/07/23,横浜ＦＣ,仙台大,浦和レッズユース,浦和レッズＪｒユース,戸塚フットボールジュニアクラブ,,,,,,,,,,,,,,,,,
290,渡邉　千真,Kazuma WATANABE,1986/08/10,横浜ＦＣ,ガンバ大阪,ヴィッセル神戸,ＦＣ東京,横浜Ｆ・マリノス,早稲田大,国見高,国見中,国見ＦＣジュニア,,,,,,,,,,,,,
291,六反　勇治,Yuji ROKUTAN,1987/04/10,横浜ＦＣ,清水エスパルス,横浜ＦＣ,清水エスパルス,ベガルタ仙台,横浜Ｆ・マリノス,アビスパ福岡,熊本国府高,田崎中,ディアマント鹿児島,スパイダ加治木,,,,,,,,,,,
292,谷　晃生,Kosei TANI,2000/11/22,湘南ベルマーレ,ガンバ大阪,湘南ベルマーレ,ガンバ大阪,ガンバ大阪ユース,ガンバ大阪Ｊｒユース,,,,,,,,,,,,,,,,
293,石原　広教,Hirokazu ISHIHARA,1999/02/26,湘南ベルマーレ,アビスパ福岡,湘南ベルマーレ,湘南ベルマーレユース,湘南ベルマーレＵ-１５平塚,湘南ベルマーレジュニア,藤沢ＦＣ,,,,,,,,,,,,,,,
294,舘　幸希,Koki TACHI,1997/12/14,湘南ベルマーレ,日本大,四日市中央工高,伊賀ＦＣＪｒユース,鈴西サッカースポーツ少年団,,,,,,,,,,,,,,,,,
295,古林　将太,Shota KOBAYASHI,1991/05/11,湘南ベルマーレ,ベガルタ仙台,名古屋グランパス,ベガルタ仙台,名古屋グランパス,湘南ベルマーレ,ザスパ草津,湘南ベルマーレ,湘南ベルマーレユース,湘南ベルマーレＪｒユース,湘南ベルマーレジュニア,,,,,,,,,,,
296,岡本　拓也,Takuya OKAMOTO,1992/06/18,湘南ベルマーレ,浦和レッズ,湘南ベルマーレ,浦和レッズ,湘南ベルマーレ,浦和レッズ,湘南ベルマーレ,浦和レッズ,Ｖ・ファーレン長崎,浦和レッズ,Ｖ・ファーレン長崎,浦和レッズ,浦和レッズユース,浦和レッズＪｒユース,道祖土サッカー少年団,,,,,,,
297,梅崎　司,Tsukasa UMESAKI,1987/02/23,湘南ベルマーレ,浦和レッズ,大分トリニータ,グルノーブルフット３８／フランス,大分トリニータ,大分トリニータＵ-１８,キックスＦＣ,,,,,,,,,,,,,,,
298,大野　和成,Kazunari OHNO,1989/08/04,湘南ベルマーレ,アルビレックス新潟,湘南ベルマーレ,アルビレックス新潟,湘南ベルマーレ,アルビレックス新潟,愛媛ＦＣ,アルビレックス新潟,アルビレックス新潟ユース,春日中,,,,,,,,,,,,
299,ウェリントン,WELLINGTON Luis De Sousa,1988/02/11,湘南ベルマーレ,ボタフォゴＳＰ／ブラジル,ヴィッセル神戸,アビスパ福岡,ポンチプレッタ／ブラジル,湘南ベルマーレ,ペロタス／ブラジル,ゴイアスＥＣ／ブラジル,フィゲレンセ／ブラジル,デュッセルドルフ／ドイツ,ＦＣトゥエンテ／オランダ,ホッフェンハイム／ドイツ,ナウチコ／ブラジル,サンカエターノ／ブラジル,インテルナシオナル／ブラジル,,,,,,,
300,山田　直輝,Naoki YAMADA,1990/07/04,湘南ベルマーレ,浦和レッズ,湘南ベルマーレ,浦和レッズ,湘南ベルマーレ,浦和レッズ,湘南ベルマーレ,浦和レッズ,湘南ベルマーレ,浦和レッズ,浦和レッズユース,浦和レッズＪｒユース,北浦和サッカースポーツ少年団,,,,,,,,,
301,タリク,TARIK El Younoussi,1988/02/23,湘南ベルマーレ,ＡＩＫソルナ／スウェーデン,カラバフＦＫ／アゼルバイジャン,オリンピアコス／ギリシャ,ホッフェンハイム／ドイツ,ローゼンボリＢＫ／ノルウェー,フレドリクスタＦＫ／ノルウェー,ＳＣヘーレンフェーン／オランダ,リールストロムＳＫ／ノルウェー,ＳＣヘーレンフェーン／オランダ,フレンドリクスタＦＫ／ノルウェー,,,,,,,,,,,
302,石原　直樹,Naoki ISHIHARA,1984/08/14,湘南ベルマーレ,ベガルタ仙台,浦和レッズ,ベガルタ仙台,浦和レッズ,サンフレッチェ広島,大宮アルディージャ,湘南ベルマーレ,高崎経済大付属高,片岡中,,,,,,,,,,,,
303,茨田　陽生,Akimi BARADA,1991/05/30,湘南ベルマーレ,大宮アルディージャ,柏レイソル,柏レイソルＵ-１８,柏レイソルＵ-１５,柏レイソルＵ-１２,,,,,,,,,,,,,,,,
304,山本　脩斗,Shuto YAMAMOTO,1985/06/01,湘南ベルマーレ,鹿島アントラーズ,ジュビロ磐田,早稲田大,盛岡商高,,,,,,,,,,,,,,,,,
305,大橋　祐紀,Yuki OHASHI,1996/07/27,湘南ベルマーレ,中央大,八千代高,ジェフユナイテッド千葉Ｕ-１５,柏イーグルス,常盤平ＳＣ,,,,,,,,,,,,,,,,
306,平松　昇,Sho HIRAMATSU,1998/11/26,湘南ベルマーレ,立正大,清水エスパルスユース,清水エスパルスＪｒユース,島田第一サッカースポーツ少年団,,,,,,,,,,,,,,,,,
307,毛利　駿也,Shunya MOURI,1995/04/10,湘南ベルマーレ,ツエーゲン金沢,順天堂大,山梨学院大附属高,ＳＱＵＡＲＥ富山,,,,,,,,,,,,,,,,,
308,名古　新太郎,Shintaro NAGO,1996/04/17,湘南ベルマーレ,鹿島アントラーズ,順天堂大,静岡学園高,大阪東淀川ＦＣ,,,,,,,,,,,,,,,,,
309,堀田　大暉,Daiki HOTTA,1994/10/05,湘南ベルマーレ,ツエーゲン金沢,湘南ベルマーレ,福島ユナイテッドＦＣ,東海大,ベガルタ仙台ユース,ベガルタ仙台Ｊｒユース,,,,,,,,,,,,,,,
310,大岩　一貴,Kazuki OIWA,1989/08/17,湘南ベルマーレ,ベガルタ仙台,ジェフユナイテッド千葉,中央大,中京大付属中京高,名古屋ＦＣ,熱田少年ＳＣ,,,,,,,,,,,,,,,
311,富居　大樹,Daiki TOMII,1989/08/27,湘南ベルマーレ,モンテディオ山形,ザスパクサツ群馬,東京国際大,武南高,浦和レッズＪｒユース,,,,,,,,,,,,,,,,
312,中村　駿,Shun NAKAMURA,1994/02/24,湘南ベルマーレ,モンテディオ山形,ザスパクサツ群馬,駒澤大,習志野高,,,,,,,,,,,,,,,,,
313,畑　大雅,Taiga HATA,2002/01/20,湘南ベルマーレ,市立船橋高,ＡＺ８６東京青梅,ＡＺ８６東京青梅ジュニア,松林少年ＳＣ,,,,,,,,,,,,,,,,,
314,池田　昌生,Masaki IKEDA,1999/07/08,湘南ベルマーレ,福島ユナイテッドＦＣ,東山高,セレッソ大阪Ｕ-１５,,,,,,,,,,,,,,,,,,
315,平岡　大陽,Taiyo HIRAOKA,2002/09/14,湘南ベルマーレ,履正社高,セレッソ大阪西Ｕ-１５,長尾ウオーズＦＣ,,,,,,,,,,,,,,,,,,
316,三幸　秀稔,Hidetoshi MIYUKI,1993/05/23,湘南ベルマーレ,レノファ山口ＦＣ,ＳＣ相模原,ヴァンフォーレ甲府,ＪＦＡアカデミー福島,市川中央リトルキッズ,,,,,,,,,,,,,,,,
317,柴田　壮介,Sosuke SHIBATA,2001/05/26,湘南ベルマーレ,湘南ベルマーレＵ-１８,湘南ベルマーレＵ-１５平塚,FCグランツ梅田,,,,,,,,,,,,,,,,,,
318,立川　小太郎,Kotaro TACHIKAWA,1997/01/04,湘南ベルマーレ,ＡＣ長野パルセイロ,大阪体育大,初芝橋本高,富田中,富田ＳＳＳ,,,,,,,,,,,,,,,,
319,田中　聡,Satoshi TANAKA,2002/08/13,湘南ベルマーレ,湘南ベルマーレＵ-１８,ＡＣ長野パルセイロＵ-１５,長野ＦＣガーフＪｒ．,,,,,,,,,,,,,,,,,,
320,町野　修斗,Shuto MACHINO,1999/09/30,湘南ベルマーレ,ギラヴァンツ北九州,横浜Ｆ・マリノス,ギラヴァンツ北九州,横浜Ｆ・マリノス,履正社高,ＦＣアヴェニーダソル,ＦＣ中瀬ＳＳ,,,,,,,,,,,,,,
321,蓑田　広大,Kodai MINODA,1999/08/10,湘南ベルマーレ,法政大在学中,青森山田高,大豆戸ＦＣＪｒユース,鶴見東ＦＣ,,,,,,,,,,,,,,,,,
322,原　直生,Naoki HARA,2003/07/22,湘南ベルマーレ,ＦＣ．ＣＥＤＡＣ　Ｊｒユース,ＦＣ．ＣＥＤＡＣジュニア,,,,,,,,,,,,,,,,,,,
323,石井　大生,Taisei ISHII,2003/12/29,湘南ベルマーレ,湘南ベルマーレＵ-１５平塚,大道ＳＣ,,,,,,,,,,,,,,,,,,,
324,根本　凌,Ryo NEMOTO,2000/02/03,湘南ベルマーレ,鹿屋体育大在学中,上田西高,シュートＪｒユースＦＣ,茅ヶ崎小和田ＦＣ,,,,,,,,,,,,,,,,,
325,石川　玄大,Gendai ISHIKAWA,2003/06/23,湘南ベルマーレ,湘南ベルマーレＵ-１５平塚,東台真鶴ＦＣ,,,,,,,,,,,,,,,,,,,
326,ウェリントン　ジュニオール,WELINTON JUNIOR Ferreira Dos Santos,1993/06/08,湘南ベルマーレ,ポルティモネンセＳＣ／ポルトガル,デポルティーボ　アベス／ポルトガル,コリチーバＦＣ／ブラジル,ブラジルＲＳ／ブラジル,フェホビアーリア／ブラジル,ミラソルＦＣ／ブラジル,パイサンドゥ／ブラジル,ジョインビレＳＣ／ブラジル,ＣＲＢ／ブラジル,ジョインビレＳＣ／ブラジル,パイサンドゥＳＣ／ブラジル,ジョインビレ／ブラジル,ゴイアスＥＣ／ブラジル,,,,,,,,
327,オリベイラ,Riuler De OLIVEIRA Faustino,1998/01/25,湘南ベルマーレ,ＦＣ大阪,湘南ベルマーレ,Ｊ．ＦＣ宮崎,インテルナシオナル／ブラジル,アトレチコ　パラナエンセ／ブラジル,コリチーバＦＣ／ブラジル,,,,,,,,,,,,,,,
328,高橋　諒,Ryo TAKAHASHI,1993/07/16,湘南ベルマーレ,松本山雅ＦＣ,湘南ベルマーレ,名古屋グランパス,湘南ベルマーレ,名古屋グランパス,明治大,国見高,国見中,,,,,,,,,,,,,
329,大久保　択生,Takuo OKUBO,1989/09/18,清水エスパルス,サガン鳥栖,ＦＣ東京,Ｖ・ファーレン長崎,ジェフユナイテッド千葉,横浜ＦＣ,帝京高,帝京中,,,,,,,,,,,,,,
330,立田　悠悟,Yugo TATSUTA,1998/06/21,清水エスパルス,清水エスパルスユース,清水エスパルスＪｒユース,清水クラブＳＳ,入江サッカースポーツ少年団,,,,,,,,,,,,,,,,,
331,ウィリアム　マテウス,WILLIAM MATHEUS da Silva,1990/04/02,清水エスパルス,コリチーバＦＣ／ブラジル,グアラニＦＣ／ブラジル,コリチーバＦＣ／ブラジル,トゥールーズＦＣ／フランス,フルミネンセＦＣ／ブラジル,トゥールーズＦＣ／フランス,ＳＥパルメイラス／ブラジル,ボカ　ジュニオールＦＣ／ブラジル,ゴイアスＦＣ／ブラジル,ボカ　ジュニオールＦＣ／ブラジル,ＣＲバスコダガマ／ブラジル,ボカ　ジュニオールＦＣ／ブラジル,ＥＣバイーア／ブラジル,ボカ　ジュニオールＦＣ／ブラジル,ＥＣデモクラータ／ブラジル,ボカ　ジュニオールＦＣ／ブラジル,フィゲイレンセＦＣ／ブラジル,トンベンセＦＣ／ブラジル,フィゲイレンセＦＣ／ブラジル,ボタフォゴＤＦ／ブラジル,フィゲイレンセＦＣ／ブラジル
332,原　輝綺,Teruki HARA,1998/07/30,清水エスパルス,サガン鳥栖,アルビレックス新潟,市立船橋高,,,,,,,,,,,,,,,,,,
333,ヴァウド,De Jesus Santos Andrevaldo(VALDO),1992/02/10,清水エスパルス,セアラーＳＣ／ブラジル,ＡＤコンフィアンサ／ブラジル,ボタフォゴＦＣ／ブラジル,ＡＤコンフィアンサ／ブラジル,,,,,,,,,,,,,,,,,
334,竹内　涼,Ryo TAKEUCHI,1991/03/08,清水エスパルス,ギラヴァンツ北九州,清水エスパルス,浜松開誠館高,浜松開誠館中,浜松ＪＦＣ,浜松竜禅寺ＦＣ,,,,,,,,,,,,,,,
335,片山　瑛一,Eiichi KATAYAMA,1991/11/30,清水エスパルス,セレッソ大阪,ファジアーノ岡山,早稲田大,川越高,,,,,,,,,,,,,,,,,
336,石毛　秀樹,Hideki ISHIGE,1994/09/21,清水エスパルス,ファジアーノ岡山,清水エスパルス,清水エスパルスユース,清水エスパルスＪｒユース,富士第一ＳＳＳ,,,,,,,,,,,,,,,,
337,チアゴ　サンタナ,Thiago Santos Santana(THIAGO SANTANA),1993/02/04,清水エスパルス,ＣＤサンタクララ／ポルトガル,サンカルロスＦＣ／ブラジル,ＣＤサンタクララ／ポルトガル,サンカルロスＦＣ／ブラジル,ヴィトーリアＦＣ／ポルトガル,サンカルロスＦＣ／ブラジル,ナウチコ／ブラジル,サンカルロスＦＣ／ブラジル,フィゲイレンセＦＣ／ブラジル,サンカルロスＦＣ／ブラジル,ヘルマン　アイヒンガー／ブラジル,サンカルロスＦＣ／ブラジル,カシアス　ド　スル／ブラジル,サンカルロスＦＣ／ブラジル,,,,,,,
338,カルリーニョス　ジュニオ,Carlos Antonio De Souza Junior(CARLINHOS JUNIOR),1994/08/08,清水エスパルス,ＦＣルガーノ／スイス,ボタフォゴＦＣ／ブラジル,パラナ　クルーベ／ブラジル,,,,,,,,,,,,,,,,,,
339,中山　克広,Katsuhiro NAKAYAMA,1996/07/17,清水エスパルス,横浜ＦＣ,専修大,麻布大渕野辺高,横浜ＦＣＪｒユース,都筑サッカー友の会,,,,,,,,,,,,,,,,
340,宮本　航汰,Kota MIYAMOTO,1996/06/19,清水エスパルス,ＦＣ岐阜,清水エスパルス,ＦＣ岐阜,清水エスパルス,Ｖ・ファーレン長崎,清水エスパルス,Ｖ・ファーレン長崎,清水エスパルス,清水エスパルスユース,清水エスパルスＪｒユース,,,,,,,,,,,
341,後藤　優介,Yusuke GOTO,1993/04/23,清水エスパルス,大分トリニータ,ＨＯＹＯ　ＡＣ　ＥＬＡＮ　大分,大分トリニータ,大分トリニータＵ-１８,鹿屋東中,,,,,,,,,,,,,,,,
342,西澤　健太,Kenta NISHIZAWA,1996/09/06,清水エスパルス,筑波大,清水エスパルスユース,清水エスパルスＪｒユース,カワハラＦＣ,,,,,,,,,,,,,,,,,
343,河井　陽介,Yosuke KAWAI,1989/08/04,清水エスパルス,慶応大,藤枝東高,藤枝東ＦＣ,青島ＳＳＳ,,,,,,,,,,,,,,,,,
344,エウシーニョ,Elson Ferreira De Souza(ELSINHO),1989/11/30,清水エスパルス,川崎フロンターレ,アメリカ　ミネイロ／ブラジル,ヴァスコ　ダ　ガマ／ブラジル,フィゲレンセＦＣ／ブラジル,ＣＲＢ／ブラジル,ナショナルＭＧ／ブラジル,ヘモ／ブラジル,グレミオ　マリンガ／ブラジル,ビリェナ／ブラジル,ＳＣジーナス／ブラジル,,,,,,,,,,,
345,ディサロ　燦シルヴァーノ,Akira Silvano DISARO'(Akira Silvano DISARO'),1996/04/02,清水エスパルス,ギラヴァンツ北九州,法政大,三菱養和ＳＣユース,三菱養和ＳＣ巣鴨,チェドラテーゼ,バディＳＣ,,,,,,,,,,,,,,,
346,中村　慶太,Keita NAKAMURA,1993/06/30,清水エスパルス,Ｖ・ファーレン長崎,流通経済大,ＡＣＢＢ／フランス,流通経済大,流通経済大付属柏高,アルティスタＦＣ,正木ＦＣ,増穂ＦＣ,,,,,,,,,,,,,
347,奥井　諒,Ryo OKUI,1990/03/07,清水エスパルス,大宮アルディージャ,ヴィッセル神戸,早稲田大,履正社高,ガンバ大阪Ｊｒユース,ガンバ大阪ジュニア,,,,,,,,,,,,,,,
348,ヘナト　アウグスト,Santos Junior RENATO AUGUSTO,1992/01/29,清水エスパルス,パイサンドゥＳＣ／ブラジル,エスポート　サント　アンド／ブラジル,フィゲイレンセＦＣ／ブラジル,ＡＡポンチ　プレッタ／ブラジル,ジョインビレＥＣ／ブラジル,パルメイラス／ブラジル,モレイレンセ／ポルトガル,ＳＥパルメイラス／ブラジル,,,,,,,,,,,,,
349,鈴木　唯人,Yuito SUZUKI,2001/10/25,清水エスパルス,市立船橋高,葉山中,横浜Ｆ・マリノスプライマリー追浜,,,,,,,,,,,,,,,,,,
350,永井　堅梧,Kengo NAGAI,1994/11/06,清水エスパルス,松本山雅ＦＣ,ギラヴァンツ北九州,松本山雅ＦＣ,徳島ヴォルティス,松本山雅ＦＣ,カターレ富山,松本山雅ＦＣ,カターレ富山,松本山雅ＦＣ,カターレ富山,松本山雅ＦＣ,カターレ富山,松本山雅ＦＣ,三菱養和ＳＣ,三菱養和巣鴨Ｊｒユース,新座片山ＦＣ少年団,,,,,
351,滝　裕太,Yuta TAKI,1999/08/29,清水エスパルス,カターレ富山,清水エスパルス,清水エスパルスユース,清水エスパルスＪｒユース,ＦＣアスルクラロ沼津,,,,,,,,,,,,,,,,
352,指宿　洋史,Hiroshi IBUSUKI,1991/02/27,清水エスパルス,湘南ベルマーレ,ジェフユナイテッド千葉,アルビレックス新潟,バレンシア　メスタージャ／スペイン,ＫＡＳオイペン／ベルギー,セビージャ／スペイン,セビージャＢ／スペイン,ＣＥサバデル／スペイン,レアル　サラゴサＢ／スペイン,ジローナＦＣ／スペイン,柏レイソルユース,柏レイソルＪｒユース,,,,,,,,,
353,福森　直也,Naoya FUKUMORI,1992/08/29,清水エスパルス,大分トリニータ,関西学院大,金光大阪高,セレッソ大阪Ｕ-１５,吹田千里ＦＣ,,,,,,,,,,,,,,,,
354,金子　翔太,Shota KANEKO,1995/05/02,清水エスパルス,栃木ＳＣ,清水エスパルス,ＪＦＡアカデミー福島,今市第三カルナヴァル,,,,,,,,,,,,,,,,,
355,福井　レオナルド　明,Dos Santos FUKUI REONARDO AKIRA,2003/05/03,清水エスパルス,清水エスパルスＪｒユース,,,,,,,,,,,,,,,,,,,,
356,ノリエガ　エリック,Noriega Loret De Mola Erick Carlos(NORIEGA ERICK),2001/10/22,清水エスパルス,ＦＣ町田ゼルビア,清水エスパルス,清水エスパルスユース,クラブ　アリアンサ　リマ／ペルー,,,,,,,,,,,,,,,,,
357,栗原　イブラヒム　ジュニア,Ibrahim Junior KURIBARA,2001/08/14,清水エスパルス,アスルクラロ沼津,清水エスパルス,三菱養和ＳＣユース,三菱養和ＳＣ巣鴨Ｊｒユース,三菱養和ＳＣ巣鴨ジュニア,栗の実ＳＣ,,,,,,,,,,,,,,,
358,権田　修一,Shuichi GONDA,1989/03/03,清水エスパルス,ポルティモネンセＳＣ／ポルトガル,サガン鳥栖,ＳＶホルン／オーストリア,ＦＣ東京,ＦＣ東京Ｕ-１８,ＦＣ東京Ｕ-１５,さぎぬまＳＣ,,,,,,,,,,,,,,
359,山原　怜音,Reon YAMAHARA,1999/06/08,清水エスパルス,筑波大在学中,,,,,,,,,,,,,,,,,,,,
360,成岡　輝瑠,Hikaru NARUOKA,2002/07/28,清水エスパルス,清水エスパルスユース,清水エスパルスＪｒユース,ＳＥＮＡ.ＦＣ,,,,,,,,,,,,,,,,,,
361,中島　惇希,Atsuki NAKAJIMA,2003/04/15,清水エスパルス,フォルトゥナＳＣ,,,,,,,,,,,,,,,,,,,,
362,加藤　拓己,Takumi KATO,1999/07/16,清水エスパルス,早稲田大在学中,,,,,,,,,,,,,,,,,,,,
363,鈴木　義宜,Yoshinori SUZUKI,1992/09/11,清水エスパルス,大分トリニータ,宮崎産業経営大,宮崎日大高,宮崎日大中,広瀬サッカースポーツ少年団,,,,,,,,,,,,,,,,
364,ランゲラック,Mitchell James LANGERAK,1988/08/22,名古屋グランパス,レバンテＵＤ／スペイン,ＶｆＢシュトゥットガルト／ドイツ,ボルシア　ドルトムント／ドイツ,メルボルンビクトリー／オーストラリア,サウス　メルボルンＦ／オーストラリア,メルボルンビクトリー／オーストラリア,,,,,,,,,,,,,,,
365,米本　拓司,Takuji YONEMOTO,1990/12/03,名古屋グランパス,ＦＣ東京,伊丹高,伊丹ＦＣ,瑞穂ＳＣ,,,,,,,,,,,,,,,,,
366,丸山　祐市,Yuichi MARUYAMA,1989/06/16,名古屋グランパス,ＦＣ東京,湘南ベルマーレ,ＦＣ東京,明治大,国学院久我山高,ＦＣ東京Ｕ-１５,バディＳＣ,,,,,,,,,,,,,,
367,中谷　進之介,Shinnosuke NAKATANI,1996/03/24,名古屋グランパス,柏レイソル,柏レイソルＵ-１８,柏レイソルＵ-１５,柏レイソルＵ-１２,,,,,,,,,,,,,,,,,
368,長澤　和輝,Kazuki NAGASAWA,1991/12/16,名古屋グランパス,浦和レッズ,ジェフユナイテッド千葉,浦和レッズ,１．ＦＣケルン／ドイツ,専修大,八千代高,三井千葉ＳＣ,ちはら台ＳＣ,,,,,,,,,,,,,
369,宮原　和也,Kazuya MIYAHARA,1996/03/22,名古屋グランパス,サンフレッチェ広島,名古屋グランパス,サンフレッチェ広島,名古屋グランパス,サンフレッチェ広島,サンフレッチェ広島ユース,サンフレッチェ広島Ｊｒユース,佐東ＦＣ,,,,,,,,,,,,,
370,阿部　浩之,Hiroyuki ABE,1989/07/05,名古屋グランパス,川崎フロンターレ,ガンバ大阪,関西学院大,大阪桐蔭高,高田ＦＣ,,,,,,,,,,,,,,,,
371,柿谷　曜一朗,Yoichiro KAKITANI,1990/01/03,名古屋グランパス,セレッソ大阪,ＦＣバーゼル／スイス,セレッソ大阪,徳島ヴォルティス,セレッソ大阪,徳島ヴォルティス,セレッソ大阪,徳島ヴォルティス,セレッソ大阪,セレッソ大阪Ｕ-１８,セレッソ大阪Ｕ-１５,セレッソ大阪Ｕ-１２,,,,,,,,,
372,山﨑　凌吾,Ryogo YAMASAKI,1992/09/20,名古屋グランパス,湘南ベルマーレ,徳島ヴォルティス,サガン鳥栖,徳島ヴォルティス,サガン鳥栖,福岡大,玉野光南高,ヒーロ備前Ｊｒユース,,,,,,,,,,,,,
373,ガブリエル　シャビエル,Gabriel Augusto Xavier(GABRIEL XAVIER),1993/07/15,名古屋グランパス,クルゼイロEC／ブラジル,名古屋グランパス,クルゼイロＥＣ／ブラジル,名古屋グランパス,クルゼイロＥＣ／ブラジル,ヴィトーリア／ブラジル,クルゼイロＥＣ／ブラジル,スポルトクラブドレーフェ／ブラジル,クルゼイロＥＣ／ブラジル,ポルトゲーザ／ブラジル,,,,,,,,,,,
374,相馬　勇紀,Yuki SOMA,1997/02/25,名古屋グランパス,鹿島アントラーズ,名古屋グランパス,早稲田大,三菱養和ＳＣユース,三菱養和ＳＣ調布Ｊｒユース,三菱養和調布ＳＳ,布田ＳＣ,,,,,,,,,,,,,,
375,藤井　陽也,Haruya FUJII,2000/12/26,名古屋グランパス,名古屋グランパスＵ-１８,名古屋グランパスＵ１５,名古屋グランパスＵ-１２,グランパスみよし,ヒカリＦＣ,,,,,,,,,,,,,,,,
376,木本　恭生,Yasuki KIMOTO,1993/08/06,名古屋グランパス,セレッソ大阪,福岡大,静岡学園高,静岡学園中,富士見台サッカースポーツ少年団,,,,,,,,,,,,,,,,
