,選手名,選手名（英語）,最終所属,ポジション,生年月日,身長/体重,url
353,アンドレジーニョ,Andre Luiz Rodrigues Lopes(ANDREZINHO),札幌,MF,1985/02/15,171/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
354,アンドレス　イニエスタ,ANDRES INIESTA Lujan,神戸,MF,1984/05/11,171/68,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
355,安楽　健太,Kenta ANRAKU,岩手,MF,1992/10/23,170/68,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
356,アーノルド,Graham James ARNOLD,広島,FW,1963/08/03,183/82,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
0,イ　ガンウ,LEE Kang Uk,群馬,FW,1994/03/19,180/75,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
1,イ　ガンジン（李　康珍）,LEE Gang Jin,町田,DF,1986/04/25,184/76,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
2,イ　キジェ（李　記帝）,LEE Kije,清水,DF,1991/07/09,174/73,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
3,イ　キョンテ,LEE Kyungtae,川崎Ｆ,GK,1995/03/02,191/81,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
4,イ　グァンソン,LEE Kwang Seon,福岡,DF,1989/09/06,193/90,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
5,李　根鎬,LEE Keun Ho,秋田,MF,1993/02/27,172/65,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
6,イ　グノ,LEE Keun Ho,Ｇ大阪,FW,1985/04/11,176/71,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
7,イ　サンミン,LEE Sang Min,長崎,DF,1998/01/01,188/78,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
8,イ　ジェウォン,LEE Jaewon,富山,FW,1992/06/02,191/85,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
9,イ　ジェスン,LEE Je Seung,山形,DF,1994/07/21,187/75,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
10,イ　ジェミン,LEE Jae Min,神戸,FW,1987/05/29,177/76,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
11,イ　ジュヨン,LEE Joo Young,讃岐,DF,1991/03/16,186/83,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
12,イ　ジュンヒョブ,LEE Jun Hyeob,松本,FW,1989/03/30,180/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
13,イ　ジョンス（李 正秀）,LEE Jung Soo,鹿島,DF,1980/01/08,185/76,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
14,イ　ジョンヒョプ,LEE Jeong Hyeop,湘南,FW,1991/06/24,188/78,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
15,イ　ジョンホ,LEE Jong Ho,長崎,FW,1992/02/24,180/78,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
16,李　鍾民,LEE Jong Min,松本,DF,1987/05/21,175/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
17,イ　スンヒ（李　承熙）,LEE Seung Hee,名古屋,MF,1988/06/10,183/85,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
18,イ　スンヨル,LEE Seung Yeoul,Ｇ大阪,FW,1989/03/06,182/73,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
19,イ　チソン,LEE Ji Seong,琉球,MF,1998/08/10,180/71,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
20,李　天秀,LEE Chun Soo,大宮,FW,1981/07/09,173/63,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
21,イ　デホン,LEE Dae Heon,栃木,FW,1993/11/17,185/78,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
22,イ　ドヒョン,LEE Dohyung,今治,GK,2001/10/15,184/77,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
23,イ　ドンミョン（李　東明）,LEE Dong Myung,大分,FW,1987/10/04,182/75,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
24,李　浩,LEE Ho,大宮,MF,1984/10/22,183/75,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
25,イ　ホスン（李　昊乗）,LEE Ho Seung,湘南,GK,1989/12/21,188/82,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
26,イ　ボムヨン,LEE Bum Young,福岡,GK,1989/04/02,194/90,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
27,李　明載,LEE Myung Jae,新潟,DF,1993/11/04,180/74,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
28,イ　ミンス,LEE Minsoo,町田,MF,1992/01/11,178/73,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
29,イ　ユノ,LEE Yunoh,Ｇ大阪,GK,1999/03/23,190/89,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
30,イ　ヨンジェ,LEE Yong Jae,岡山,FW,1991/06/08,184/83,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
31,イ　レジュン,LEE Rae Jun,栃木,FW,1997/03/19,192/72,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
32,伊井　涼馬,Ryoma II,愛媛,MF,2004/06/26,170/60,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
33,飯尾　一慶,Kazunori IIO,横浜FC,MF,1982/02/23,168/65,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
34,飯尾　和也,Kazuya IIO,松本,DF,1980/04/10,177/71,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
35,飯尾　竜太朗,Ryutaro IIO,秋田,MF,1991/01/30,173/69,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
36,飯倉　大樹,Hiroki IIKURA,神戸,GK,1986/06/01,181/75,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
37,伊池　翔吾,Shogo IIKE,YS横浜,FW,1988/03/15,183/75,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
38,飯島　寿久,Kazuhisa IIJIMA,福岡,DF,1970/01/06,177/72,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
39,飯泉　涼矢,Ryoya IIZUMI,今治,DF,1995/12/28,181/77,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
40,飯田　正吾,Shogo IIDA,柏,DF,1967/04/18,174/66,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
41,飯田　貴敬,Takahiro IIDA,京都,DF,1994/08/31,180/73,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
42,飯田　健巳,Tatsumi IIDA,富山,GK,1985/07/22,191/84,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
43,飯田　絋孝,Hirotaka IIDA,横浜FM,MF,1982/04/29,167/60,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
44,飯田　真輝,Masaki IIDA,松本,DF,1985/09/15,187/82,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
45,飯田　優二,Yuji IIDA,水戸,MF,1992/07/07,167/56,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
46,飯田　涼,Ryo IIDA,相模原,MF,1993/11/05,164/62,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
47,飯塚　浩記,Hiroki IIZUKA,山形,MF,1978/04/04,162/50,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
48,飯塚　欣士,Yoshihito IIZUKA,FC東京,GK,2001/05/07,184/74,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
49,飯野　珠央,Juo IINO,札幌,MF,2005/10/01,164/53,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
50,飯野　七聖,Nanasei IINO,鳥栖,MF,1996/10/02,173/65,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
51,飯野　雅俊,Masatoshi IINO,群馬,GK,1998/12/03,180/74,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
52,飯室　綾太,Ryota IIMURO,YS横浜,MF,1982/09/29,177/73,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
53,飯山　悠吾,Yugo IIYAMA,岩手,DF,1986/03/06,176/72,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
54,イウリ,IURY Lirio Freitas De Castilho,山口,FW,1995/09/06,185/74,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
55,家長　昭博,Akihiro IENAGA,川崎Ｆ,MF,1986/06/13,173/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
56,井岡　海都,Kaito IOKA,仙台,GK,1998/04/27,186/79,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
57,五十嵐　新,Arata IKARASHI,新潟,MF,2000/04/28,180/72,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
58,碇野　壱馬,Kazuma IKARINO,山口,DF,1986/05/31,170/66,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
59,五十嵐　海斗,Kaito IGARASHI,清水,MF,2001/04/25,177/65,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
60,五十嵐　和也,Kazuya IGARASHI,千葉,DF,1965/10/24,177/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
61,五十嵐　大悟,Daigo IGARASHI,横浜FM,DF,2000/04/16,175/65,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
62,五十嵐　理人,Masato IGARASHI,栃木,FW,1999/06/13,176/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
63,猪狩　佑貴,Yuki IGARI,福島,MF,1988/04/07,170/68,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
64,井川　空,Sora IGAWA,札幌,MF,2000/01/15,178/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
65,井川　祐輔,Yusuke IGAWA,川崎Ｆ,DF,1982/10/30,182/81,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
66,生津　将司,Shoji IKITSU,福岡,MF,1977/05/20,162/50,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
67,井口　綾人,Ryoto IGUCHI,琉球,FW,2001/01/21,168/63,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
68,池内　友彦,Tomohiko IKEUCHI,札幌,DF,1977/11/01,181/73,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
69,池上　丈二,Joji IKEGAMI,山口,MF,1994/11/06,165/60,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
70,池上　礼一,Reiichi IKEGAMI,岐阜,MF,1983/07/12,177/72,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
71,池ヶ谷　颯斗,Hayato IKEGAYA,YS横浜,MF,1992/03/30,183/78,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
72,池髙　暢希,Nobuki IKETAKA,福島,MF,2000/04/05,173/66,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
73,池田　圭,Kei IKEDA,鳥栖,FW,1986/10/20,178/72,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
74,池田　航,Ko IKEDA,讃岐,DF,2001/07/04,177/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
75,池田　修志,Shuji IKEDA,神戸,FW,1999/07/19,174/60,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
76,池田　昇平,Shohei IKEDA,岐阜,DF,1981/04/27,180/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
77,池田　樹雷人,Jurato IKEDA,愛媛,DF,1996/09/17,186/82,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
78,池田　達哉,Tatsuya IKEDA,大分,DF,1988/05/18,184/73,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
79,池田　任泰,Toya IKEDA,岡山,FW,2004/06/15,167/66,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
80,池田　伸康,Nobuyasu IKEDA,水戸,MF,1970/05/18,170/63,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
81,池田　太,Futoshi IKEDA,浦和,DF,1970/10/04,177/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
82,池田　誠,Makoto IKEDA,新潟,MF,1977/07/08,172/62,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
83,池田　昌生,Masaki IKEDA,湘南,FW,1999/07/08,176/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
84,池田　昌広,Masahiro IKEDA,湘南,MF,1981/10/09,175/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
85,池田　学,Manabu IKEDA,湘南,DF,1980/07/03,183/80,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
86,池田　衛,Mamoru IKEDA,湘南,DF,1998/04/06,170/69,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
87,池田　柚生,Yuzuki IKEDA,広島,MF,2003/09/02,167/56,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
88,池田　廉,Ren IKEDA,琉球,MF,1997/11/10,177/68,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
89,池永　航,Wataru IKENAGA,山口,DF,1991/11/30,178/71,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
90,池庭　諒耶,Ryoya IKENIWA,栃木,DF,1997/12/17,186/80,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
91,池ノ上　俊一,Shunichi IKENOUE,横浜Ｆ,MF,1967/02/16,170/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
92,池端　陽介,Yosuke IKEHATA,富山,DF,1979/06/07,181/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
93,池松　秀明,Hideaki IKEMATSU,京都,MF,1986/01/10,171/66,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
94,池元　友樹,Tomoki IKEMOTO,北九州,FW,1985/03/27,170/68,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
95,池本　晴,Haru IKEMOTO,鳥取,MF,2001/08/18,176/68,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
96,池本　優,Yu IKEMOTO,鳥取,MF,2004/10/18,176/65,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
97,池谷　友喜,Yuki IKEYA,讃岐,MF,1995/06/27,161/60,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
98,池谷　祐輔,Yusuke IKEYA,川崎Ｆ,MF,1999/07/17,165/63,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
99,生駒　仁,Jin IKOMA,北九州,DF,1999/07/01,185/77,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
100,イゴール,IGOR Torres Sartori,鹿島,FW,1993/01/08,176/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
101,伊佐　耕平,Kohei ISA,大分,FW,1991/11/23,175/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
102,井坂　健太,Kenta ISAKA,水戸,GK,1996/07/11,180/74,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
103,イサカ　ゼイン,Zain ISSAKA,川崎Ｆ,DF,1997/05/29,174/78,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
104,井坂　鉄平,Teppei ISAKA,水戸,DF,1974/10/23,184/67,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
105,イサック　クエンカ,Juan ISAAC CUENCA Lopez,仙台,MF,1991/04/27,179/68,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
106,イザイアス,IZAIAS Maia Carneiro,横浜FC,FW,1975/06/05,167/64,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
107,井澤　惇,Atsushi IZAWA,徳島,MF,1989/07/23,170/65,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
108,伊澤　壮平,Sohei IZAWA,浦和,FW,2003/09/26,177/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
109,井澤　春輝,Haruki IZAWA,北九州,MF,1999/06/14,178/73,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
110,石井　快征,Kaisei ISHII,鳥栖,FW,2000/04/02,174/65,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
111,石井　圭太,Keita ISHII,岩手,MF,1995/06/22,174/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
112,石井　謙伍,Kengo ISHII,札幌,MF,1986/04/02,178/73,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
113,石井　健太,Kenta ISHII,宮崎,GK,1987/12/08,180/79,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
114,石井　光輝,Koki ISHII,鳥取,DF,1995/03/15,173/67,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
115,石井　壯二郎,Sojiro ISHII,Ｇ大阪,DF,1970/03/29,176/71,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
116,石井　大生,Taisei ISHII,湘南,DF,2003/12/29,190/80,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
117,石井　俊也,Toshiya ISHII,熊本,MF,1978/01/19,173/63,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
118,石井　秀典,Hidenori ISHII,徳島,DF,1985/09/23,180/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
119,石井　飛雄馬,Hyuma ISHII,清水,GK,2001/06/23,180/75,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
120,石井　正忠,Masatada ISHII,福岡,MF,1967/02/01,176/71,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
121,石井　雄輔,Yusuke ISHII,藤枝,FW,1991/06/25,170/68,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
122,石井　綾,Ryo ISHII,金沢,GK,1993/06/24,183/78,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
123,石井　僚,Ryo ISHII,山口,GK,2000/07/11,191/84,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
124,石浦　大雅,Taiga ISHIURA,東京Ｖ,MF,2001/11/22,169/60,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
125,石尾　崚雅,Ryoga ISHIO,金沢,DF,2000/05/18,183/76,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
126,石川　蒼生,Aoi ISHIKAWA,札幌,MF,2003/04/19,167/58,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
127,石川　碧人,Aoto ISHIKAWA,鹿島,GK,1999/06/12,188/87,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
128,石川　慧,Kei ISHIKAWA,Ｇ大阪,GK,1992/09/30,185/83,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
129,石川　研,Ken ISHIKAWA,千葉,GK,1970/02/06,182/73,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
130,石川　健太郎,Kentaro ISHIKAWA,柏,DF,1970/02/12,181/72,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
131,石川　玄大,Gendai ISHIKAWA,湘南,MF,2003/06/23,167/63,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
132,石川　巧（康）,Ko ISHIKAWA,名古屋,DF,1970/03/10,170/64,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
133,石川　晴大,Seita ISHIKAWA,清水,MF,2005/01/03,168/58,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
134,石川　喬穂,Takao ISHIKAWA,町田,DF,1991/05/30,163/62,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
135,石川　竜也,Tatsuya ISHIKAWA,山形,DF,1979/12/25,179/69,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
136,石川　大地,Daichi ISHIKAWA,鳥取,FW,1996/02/22,176/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
137,石川　俊輝,Toshiki ISHIKAWA,大宮,MF,1991/07/10,174/68,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
138,石川　直樹,Naoki ISHIKAWA,札幌,DF,1985/09/13,180/74,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%84
