選手名,選手名_英語,最終所属,ポジション,生年月日,身長_体重
荻原　渓太,Keita OGIHARA,新潟,FW,1998/04/17,186/68
荻原　拓也,Takuya OGIWARA,京都,DF,1999/11/23,175/69
奥　大介,Daisuke OKU,横浜FC,MF,1976/02/07,173/68
奥井　大貴,Hiroki OKUI,Ｇ大阪,DF,1999/06/27,165/60
奥井　諒,Ryo OKUI,清水,DF,1990/03/07,169/65
奥川　雅也,Masaya OKUGAWA,京都,MF,1996/04/14,176/62
奥田　晃也,Koya OKUDA,水戸,FW,1994/10/01,181/72
奥田　達朗,Tatsuro OKUDA,長崎,GK,1988/09/20,185/84
奥田　大二郎,Daijiro OKUDA,藤枝,MF,1989/04/23,166/66
尾上　恵生,Shigeo ONOUE,水戸,FW,1976/07/15,171/70
尾上　勇也,Yuya ONOE,徳島,MF,1985/04/08,173/63
斧澤　隼輝,Toshiki ONOZAWA,北九州,MF,1998/06/02,166/64
小野瀬　康介,Kosuke ONOSE,Ｇ大阪,MF,1993/04/22,176/65
小野田　将人,Masahito ONODA,岩手,DF,1996/05/04,180/69
小野寺　建人,Kento ONODERA,金沢,MF,1991/07/06,171/65
小野寺　健也,Kenya ONODERA,栃木,DF,1997/11/18,184/77
小野寺　達也,Tatsuya ONODERA,宮崎,MF,1987/08/04,172/65
小川　紘生,Hiroki OGAWA,浦和,MF,1997/02/23,168/67
小川　雅己,Masaki OGAWA,群馬,DF,1975/04/03,177/76
小川　真輝,Masaki OGAWA,川崎Ｆ,DF,1999/05/22,175/66
小川　優介,Yusuke OGAWA,鹿島,MF,2002/04/14,166/58
小川　雄大,Yudai OGAWA,岐阜,MF,1996/10/04,174/68
小川　佳純,Yoshizumi OGAWA,新潟,MF,1984/08/25,173/67
小笠原　侑生,Yusei OGASAWARA,長崎,MF,1988/04/16,170/62
小柏　剛,Tsuyoshi OGASHIWA,札幌,FW,1998/07/09,167/67
小川　慶治朗,Keijiro OGAWA,横浜FC,FW,1992/07/14,170/67
小川　航基,Koki OGAWA,磐田,FW,1997/08/08,186/78
小河　詩朋,Shiho OGAWA,Ｃ大阪,FW,2003/05/14,169/68
小川　誠一,Seiichi OGAWA,名古屋,DF,1970/07/21,170/65
小川　諒也,Ryoya OGAWA,FC東京,DF,1996/11/24,183/78
小川　麟,Rin OGAWA,千葉,MF,2002/07/08,169/57
起　海斗,Kaito OKI,山口,DF,2000/11/14,175/68
沖　悠哉,Yuya OKI,鹿島,GK,1999/08/22,184/82
沖崎　颯,Hayate OKIZAKI,金沢,MF,2001/04/10,175/67
興津　大三,Daizo OKITSU,Ｃ大阪,MF,1974/06/15,173/69
沖野　将基,Masaki OKINO,秋田,MF,1996/12/13,165/62
荻　晃太,Kota OGI,神戸,GK,1983/05/05,183/74
小木曽　春樹,Haruki OGISO,愛媛,MF,1997/04/12,173/63
荻野　広大,Kota OGINO,京都,MF,1997/05/02,182/75
奥野　僚右,Ryosuke OKUNO,広島,DF,1968/11/13,174/70
奥原　崇,Takashi OKUHARA,FC東京,MF,1972/07/31,173/60
屋宮　大地,Daichi OKUMIYA,琉球,DF,1988/11/27,170/68
奥村　晃司,Koji OKUMURA,群馬,MF,1998/07/29,175/65
奥村　慶之,Yoshiyuki OKUMURA,鳥取,FW,1993/01/21,173/68
奥元　大晴,Taisei OKUMOTO,鳥取,FW,2001/04/08,167/56
奥山　卓廊,Takuro OKUYAMA,群馬,FW,1983/10/27,171/66
奥山　政幸,Masayuki OKUYAMA,町田,DF,1993/07/28,173/70
奥山　泰裕,Yasuhiro OKUYAMA,鳥取,MF,1985/11/21,170/65
奥山　璃空,Riku OKUYAMA,川崎Ｆ,MF,1999/05/04,161/55
押谷　祐樹,Yuki OSHITANI,藤枝,FW,1989/09/23,171/71
押富　大輝,Taiki OSHITOMI,神戸,MF,2002/04/09,171/68
小島　徹,Toru OJIMA,山形,DF,1976/02/22,181/80
オスマル,OSMAR Ibanez Barba,Ｃ大阪,MF,1988/06/05,192/89
オズマール,OSMAR Aparecido Do Azevedo,大分,FW,1980/03/27,174/68
オズマール,OSMAR Francisco Moreira Jesuino,水戸,FW,1987/08/10,180/78
オゼアス,OSEAS Reis Dos Santos,新潟,FW,1971/05/14,186/89
小田切　道治,Michiharu OTAGIRI,富山,DF,1978/09/02,179/71
オタボー,OTABOR Kenneth,岩手,MF,2002/05/13,178/67
小田　逸稀,Itsuki ODA,千葉,DF,1998/07/16,173/71
奥田　勇斗,Hayato OKUDA,Ｇ大阪,DF,2001/04/21,172/66
奥田　裕貴,Hiroki OKUDA,宮崎,DF,1992/10/05,176/68
奥田　雄大,Yudai OKUDA,徳島,DF,1997/05/01,181/72
奥津　玲太,Reita OKUTSU,湘南,MF,2001/08/20,160/56
奥抜　侃志,Kanji OKUNUKI,大宮,MF,1999/08/11,171/61
奥野　耕平,Kohei OKUNO,Ｇ大阪,MF,2000/04/03,174/63
奥野　慎太郎,Shintaro OKUNO,清水,FW,2003/08/18,163/62
奥野　誠一郎,Seiichiro OKUNO,大宮,DF,1974/07/26,181/75
奥埜　博亮,Hiroaki OKUNO,Ｃ大阪,MF,1989/08/14,171/68
奥野　雅晶,Masaaki OKUNO,神戸,FW,2000/08/09,180/72
小田　奏,So ODA,新潟,MF,2002/09/18,161/56
小田　裕太郎,Yutaro ODA,神戸,FW,2001/08/12,181/70
小田垣　皓己,Koki ODAGAKI,仙台,GK,2000/12/08,187/63
小田島　隆幸,Takayuki ODAJIMA,群馬,DF,1977/09/15,180/74
小田島　怜,Ryo ODAJIMA,相模原,DF,1996/06/10,176/69
小田島　怜,Rei ODAJIMA,湘南,DF,1996/06/10,175/68
越智　隼人,Hayato OCHI,山形,DF,1982/07/17,174/66
越智　亮介,Ryosuke OCHI,今治,MF,1990/04/07,171/64
落合　正幸,Masayuki OCHIAI,栃木,DF,1981/07/11,180/73
オッツェ（オルデネビッツ）,Frank Ordenewitz(OTZE),仙台,FW,1965/03/25,180/76
音泉　翔眞,Shoma OTOIZUMI,富山,MF,1996/07/07,174/74
オナイウ　阿道,Ado ONAIWU,横浜FM,FW,1995/11/08,180/75
翁長　聖,Hijiri ONAGA,大宮,MF,1995/02/23,171/68
オニエ　オゴチュクウ,ONYE OGOCHUKWU Promise,YS横浜,FW,2002/03/13,170/69
鬼木　達,Toru ONIKI,川崎Ｆ,MF,1974/04/20,168/66
鬼木　颯都,Hayato ONIKI,大分,MF,2004/01/12,172/70
小沼　昭人,Akito ONUMA,札幌,MF,2005/11/29,172/66
小野　敬輔,Keisuke ONO,秋田,MF,1998/07/30,168/62
小野　広太,Kota ONO,広島,GK,2001/05/05,183/74
小野　信義,Shingi ONO,横浜FC,MF,1974/04/09,178/71
小野　伸二,Shinji ONO,札幌,MF,1979/09/27,175/74
小野　隆儀,Takayoshi ONO,水戸,FW,1978/04/30,183/70
小野　智吉,Tomoyoshi ONO,横浜FC,MF,1979/08/12,171/66
小野　成夢,Narumu ONO,愛媛,DF,2004/12/01,180/75
小野　博信,Hironobu ONO,水戸,GK,1987/07/07,183/75
小野　雅史,Masahito ONO,大宮,MF,1996/08/09,172/69
小野　裕二,Yuji ONO,Ｇ大阪,FW,1992/12/22,170/69
小野　悠斗,Yuto ONO,岐阜,MF,1991/09/28,170/65
小野　雄平,Yuhei ONO,岡山,MF,1985/07/01,170/67
小野　凌也,Ryoya ONO,名古屋,DF,2000/04/21,175/61
加賀美　翔,Sho KAGAMI,藤枝,FW,1994/04/22,174/68
加々美　登生,Toi KAGAMI,岩手,MF,1999/02/15,172/65
香川　真司,Shinji KAGAWA,Ｃ大阪,MF,1989/03/17,172/63
香川　勇気,Yuki KAGAWA,大分,DF,1992/07/02,177/70
垣内　友二,Yuji KAKIUCHI,新潟,MF,1969/08/31,164/64
柿木　亮介,Ryosuke KAKIGI,藤枝,MF,1991/12/23,168/66
垣田　裕暉,Yuki KAKITA,徳島,FW,1997/07/14,187/78
柿谷　曜一朗,Yoichiro KAKITANI,名古屋,FW,1990/01/03,177/68
垣根　拓也,Takuya KAKINE,秋田,MF,1991/10/03,173/69
柿本　健太,Kenta KAKIMOTO,秋田,FW,1990/10/19,183/78
賈　秀全,JIA Xiuquan,Ｇ大阪,DF,1963/11/09,182/80
甲斐　健太郎,Kentaro KAI,岐阜,DF,1994/11/01,181/65
カイオ,CAIO Lucas Fernandes,鹿島,MF,1994/04/19,173/69
カイオ,CAIO Balsamo Gardim,秋田,FW,1992/12/21,185/82
カイオ,KAIO Felipe Goncalves,京都,FW,1987/07/06,187/77
カイオ,Wolnei CAIO,柏,MF,1968/08/10,174/70
カイオ　セザール,CAIO CESAR Da Silva Silveira,長崎,MF,1995/07/27,193/76
カイケ,KAYKE Moreno De Andrade Rodrigues,横浜FM,FW,1988/04/01,182/78
カイケ,Vergilio Da Silva KAIQUE,群馬,FW,1996/01/19,175/68
カイコ,Airton Graciliano Dos Santos(CAICO),東京Ｖ,MF,1974/05/15,170/68
海本　慶治,Keiji KAIMOTO,新潟,DF,1972/11/26,181/75
海本　幸治郎,Kojiro KAIMOTO,東京Ｖ,DF,1977/10/14,183/76
カウィン,KAWIN Thamsatchanan,札幌,GK,1990/01/26,183/78
カウエ,CAUE Santos Da Mata,札幌,MF,1986/05/01,178/72
カウエ,CAUE Cecilio Da Silva,福岡,MF,1989/05/24,186/84
カウンゼン　マラ,KAUNG ZAN MARA,東京Ｖ,GK,2002/11/11,190/77
嘉悦　秀明,Hideaki KAETSU,横浜Ｆ,FW,1974/10/08,178/63
カカウ,Claudemir Jeronimo Barreto(CACAU),Ｃ大阪,FW,1981/03/27,179/74
加賀　健一,Kenichi KAGA,秋田,DF,1983/09/30,181/75
加賀見　健介,Kensuke KAGAMI,FC東京,MF,1974/11/21,186/81
影山　由高,Yoshitaka KAGEYAMA,甲府,FW,1978/03/31,173/67
影山　塁飛,Ruito KAGEYAMA,鳥取,MF,2002/08/22,172/61
圍　謙太朗,Kentaro KAKOI,松本,GK,1991/04/23,190/90
笠川　永太,Eita KASAGAWA,福岡,GK,1990/10/25,186/82
笠原　淳,Sunao KASAHARA,岩手,GK,1989/07/21,186/81
笠原　宗太,Sota KASAHARA,水戸,DF,1976/05/09,170/62
笠原　昂史,Takashi KASAHARA,大宮,GK,1988/11/21,191/83
柿本　倫明,Michiaki KAKIMOTO,湘南,FW,1977/10/06,184/79
カク　テヒ（郭　泰輝）,KWAK Tae Hwi,京都,DF,1981/07/08,186/85
カク　ヒジュ,KWAK Hee Ju,FC東京,DF,1981/10/05,185/77
角田　誠,Makoto KAKUDA,長崎,DF,1983/07/10,180/78
加倉井　拓弥,Takuya KAKURAI,町田,DF,1997/09/25,173/65
掛川　誠,Makoto KAKEGAWA,清水,GK,1973/05/23,191/83
景山　健司,Kenji KAGEYAMA,富山,MF,1980/04/02,178/73
影山　兼三,Kenzo KAGEYAMA,広島,FW,2001/06/16,170/60
影山　貴志,Takashi KAGEYAMA,広島,DF,1977/05/27,180/73
影山　雅永,Masanaga KAGEYAMA,仙台,DF,1967/05/23,181/78
金子　優希,Yuki KANEKO,八戸,GK,1996/04/21,183/81
金子　豊,Yutaka KANEKO,愛媛,MF,1979/10/16,168/68
金坂　励耶,Reiya KANESAKA,山口,FW,2004/02/17,170/62
兼田　亜季重,Akishige KANEDA,大分,GK,1990/02/26,185/77
金田　飛鳥,Asuka KANEDA,岡山,FW,2001/11/02,179/72
金本　圭太,Keita KANEMOTO,大分,MF,1977/07/13,173/71
兼本　正光,Masamitsu KANEMOTO,神戸,GK,1962/10/17,176/74
狩野　健太,Kenta KANO,徳島,MF,1986/05/02,177/70
加納　昌弘,Masahiro KANO,甲府,DF,1977/04/04,174/69
加納　錬,Ren KANO,相模原,DF,1994/10/31,172/72
狩土名　禅,Zen CARDONA,北九州,FW,1998/05/12,190/82
カルフィン　ヨン　ア　ピン,Calvin Ray Jong A Pin(CALVIN JONG A PIN),横浜FC,DF,1986/07/18,183/78
苅部　隆太郎,Ryutaro KARUBE,岐阜,MF,1992/12/19,188/76
カルボン,KARBON Fadel Abdulkader Mohamad Chaaban,琉球,MF,1992/12/10,192/85
カルボーネ,Rodrigo Jose CARBONE,鹿島,MF,1974/03/17,176/70
カルリーニョス,Carlos Pereira Berto Junior(CARLINHOS),徳島,MF,1983/03/04,170/69
カルリーニョス　ジュニオ,Carlos Antonio De Souza Junior(CARLINHOS JUNIOR),清水,FW,1994/08/08,174/71
カルロ　ブルシッチ,KARLO BRUCIC,鳥栖,DF,1992/04/17,183/73
カルロス,Luiz CARLOS Guarnieri,京都,DF,1971/08/13,183/75
カルロス,CARLOS Soares Garrit,鹿島,MF,1971/12/04,175/69
梶原　夕希也,Yukiya KAJIWARA,北九州,DF,1996/06/24,172/62
數馬　正浩,Masahiro KAZUMA,新潟,DF,1982/06/22,180/78
片井　巧,Takumi KATAI,今治,FW,1995/11/14,174/68
片岡　功二,Koji KATAOKA,徳島,MF,1977/06/19,170/65
片岡　爽,So KATAOKA,藤枝,MF,1992/04/20,171/68
片岡　翼,Tsubasa KATAOKA,山口,DF,2000/07/28,180/68
片岡　洋介,Yosuke KATAOKA,鳥取,DF,1982/05/26,180/78
片木　泰希,Taiki KATAGI,山口,DF,2004/04/06,171/67
片桐　淳至,Atsushi KATAGIRI,甲府,FW,1983/08/01,177/68
片倉　誠也,Seiya KATAKURA,金沢,DF,1998/12/05,171/68
カルロス　グティエレス,CARLOS GUTIERREZ Gonzalez,福岡,DF,1991/11/04,192/82
カルロス　マルティネス,CARLOS MARTINEZ Rodriguez,東京Ｖ,FW,1986/06/27,185/79
カルロス・アルベルト,Carlos Alberto Gomes Da Costa,FC東京,DF,1963/11/25,186/78
カルロン,Carlos Alexandre De Souza Silva(CARLAO),鹿島,FW,1986/08/01,190/78
カレカ,Antonio De Oliveira Filho(CARECA),柏,FW,1960/10/05,179/75
カレカ,Rodrigo Vergilio(CARECA),湘南,FW,1983/04/13,181/80
カレン　ロバート,Robert CULLEN,熊本,FW,1985/06/07,180/75
川井　歩,Ayumu KAWAI,山口,DF,1999/08/12,177/66
川井　健太,Kenta KAWAI,愛媛,FW,1981/06/07,182/72
川井　光一,Koichi KAWAI,愛媛,DF,1979/03/29,178/70
川西　翔太,Shota KAWANISHI,岐阜,MF,1988/10/28,177/73
河西　真,Makoto KAWANISHI,福島,DF,1996/06/21,177/70
河野　和正,Kazumasa KAWANO,Ｃ大阪,GK,1970/11/07,186/80
河野　健一,Kenichi KAWANO,熊本,MF,1982/09/15,171/63
河野　孝汰,Kota KAWANO,山口,FW,2003/08/12,176/73
河野　真一,Shinichi KAWANO,神戸,FW,1969/11/05,171/72
彼島　優,Yu KANOSHIMA,FC東京,GK,2003/05/05,184/71
樺山　諒乃介,Ryonosuke KABAYAMA,横浜FM,MF,2002/09/17,171/68
カピトン,Oleude Jose Ribeiro(CAPITAO),東京Ｖ,MF,1966/09/19,177/77
鏑木　豪,Go KABURAKI,水戸,GK,1977/08/26,190/82
鏑木　享,Toru KABURAGI,新潟,FW,1976/04/18,174/67
鏑木　亮吾,Ryogo KABURAGI,YS横浜,FW,1989/03/23,173/73
カブラル,Davorin KABLAR,Ｃ大阪,DF,1977/12/06,194/90
カブレリーゾ,Bruno CABRERIZO,鳥栖,DF,1979/07/09,185/77
加部　未蘭,Miran KABE,北九州,FW,1992/06/17,187/79
カボレ,Everaldo De Jesus Pereira(CABORE),FC東京,FW,1980/02/19,186/78
河合　秀人,Shuto KAWAI,松本,MF,1993/10/01,170/62
河合　駿,Shun KAWAI,岡山,DF,2000/10/30,166/61
河合　崇泰,Takayasu KAWAI,Ｃ大阪,MF,1977/03/07,175/60
河井　哲太,Tetta KAWAI,Ｇ大阪,DF,2000/05/08,183/70
河井　陽介,Yosuke KAWAI,清水,MF,1989/08/04,166/60
河合　竜二,Ryuji KAWAI,札幌,DF,1978/07/14,183/75
川勝　博康,Hiroyasu KAWAKATSU,京都,FW,1975/09/19,185/75
川上　エドオジョン　智慧,Chie EDOOJON KAWAKAMI,徳島,MF,1998/04/21,167/68
川上　隼,Shun KAWAKAMI,札幌,GK,2002/07/16,178/76
川上　翔平,Shohei KAWAKAMI,福島,MF,1995/05/17,167/67
加藤　友乃晋,Tomonoshin KATO,仙台,DF,1998/05/28,180/63
加藤　望,Nozomu KATO,湘南,MF,1969/10/07,170/62
加藤　順大,Nobuhiro KATO,京都,GK,1984/12/11,180/80
加藤　久,Hisashi KATO,東京Ｖ,DF,1956/04/24,174/70
加藤　聖,Hijiri KATO,長崎,DF,2001/09/16,171/64
加藤　秀典,Hidenori KATO,鳥取,DF,1981/05/13,179/76
加藤　広樹,Hiroki KATO,水戸,DF,1986/07/31,191/84
加藤　大,Masaru KATO,長崎,MF,1991/05/07,175/72
加藤　陸次樹,Mutsuki KATO,Ｃ大阪,FW,1997/08/06,178/69
加藤　泰明,Yasuaki KATO,名古屋,DF,1976/04/10,180/68
金井　亮太,Ryota KANAI,水戸,MF,1998/05/09,164/58
金久保　彩,Sai KANAKUBO,鹿児島,MF,1989/01/11,172/70
金久保　順,Jun KANAKUBO,水戸,MF,1987/07/26,172/65
金口　望,Nozomu KANAGUCHI,水戸,MF,1981/09/08,167/58
金崎　夢生,Mu KANAZAKI,名古屋,FW,1989/02/16,180/70
金澤　慎,Shin KANAZAWA,大宮,MF,1983/09/09,175/70
金沢　浄,Jo KANAZAWA,群馬,DF,1976/07/09,173/72
金澤　崇文,Takafumi KANAZAWA,水戸,DF,1981/04/25,186/79
金澤　大将,Hiromasa KANAZAWA,水戸,MF,1983/12/01,170/68
金沢　亮,Ryo KANAZAWA,千葉,FW,1988/10/19,175/69
上島　拓巳,Takumi KAMIJIMA,柏,DF,1997/02/05,186/80
上條　宏晃,Hiroaki KAMIJO,岡山,FW,1989/04/22,175/72
上園　和明,Kazuaki KAMIZONO,富山,MF,1981/11/28,174/71
嘉味田　隼,Jun KAMITA,鳥取,GK,1992/01/17,184/83
上西　峻平,Shumpei KAMINISHI,大分,FW,2002/07/15,172/68
神野　亮太,Ryota KAMINO,宮崎,DF,2001/09/25,183/72
上福元　直人,Naoto KAMIFUKUMOTO,徳島,GK,1989/11/17,182/76
神丸　洋一,Yoichi KAMIMARU,愛媛,MF,1984/06/30,172/67
上村　周平,Shuhei KAMIMURA,熊本,MF,1995/10/15,165/63
神村　奨,Sho KAMIMURA,水戸,FW,1989/03/29,172/60
梶浦　勇輝,Yuki KAJIURA,FC東京,MF,2004/01/02,169/64
梶川　裕嗣,Yuji KAJIKAWA,横浜FM,GK,1991/07/26,185/78
梶川　諒太,Ryota KAJIKAWA,東京Ｖ,MF,1989/04/17,164/58
梶野　智,Satoshi KAJINO,札幌,DF,1965/11/09,177/71
梶野　智幸,Tomoyuki KAJINO,柏,DF,1960/07/11,182/76
梶原　啓太,Keita KAJIHARA,今治,MF,2003/04/18,175/69
梶山　幹太,Kanta KAJIYAMA,相模原,MF,1998/04/24,167/63
梶山　洋一,Yoichi KAJIYAMA,神戸,DF,1971/09/08,175/68
梶山　陽平,Yohei KAJIYAMA,新潟,MF,1985/09/24,180/73
梶原　慧汰,Keita KAJIWARA,愛媛,FW,2003/04/27,173/68
風間　八宏,Yahiro KAZAMA,広島,MF,1961/10/16,173/67
賀澤　陽友,Hiyu KAZAWA,福島,FW,2001/04/18,170/63
カシアーノ,Delvalle Ruiz CASIANO Wilberto,湘南,FW,1970/08/13,178/76
樫崎　桂太,Keita KASHIZAKI,仙台,DF,1998/06/07,173/57
栢原　悠聖,Yusei KASHIHARA,岡山,DF,2003/07/10,174/65
柏　好文,Yoshifumi KASHIWA,広島,MF,1987/07/28,168/62
柏木　陽介,Yosuke KASHIWAGI,岐阜,MF,1987/12/15,176/73
柏瀬　暁,Satoru KASHIWASE,清水,FW,1993/06/01,182/73
加地　亮,Akira KAJI,岡山,DF,1980/01/13,177/75
梶居　勝志,Katsushi KAJII,Ｇ大阪,DF,1963/07/11,0/0
勝矢　寿延,Toshinobu KATSUYA,Ｃ大阪,DF,1961/09/02,175/76
桂　秀樹,Hideki KATSURA,川崎Ｆ,MF,1970/03/06,160/58
桂　陸人,Rikuto KATSURA,広島,FW,2000/09/16,162/62
加藤　健人,Kento KATO,群馬,MF,1995/09/24,176/72
加藤　玄,Gen KATO,名古屋,MF,2003/04/15,181/76
加藤　弘堅,Koken KATO,東京Ｖ,MF,1989/04/03,178/72
加藤　恒平,Kohei KATO,鳥栖,MF,1989/06/14,173/70
加藤　慎也,Shinya KATO,甲府,GK,1980/09/19,187/77
加藤　潤也,Junya KATO,群馬,MF,1994/12/30,166/62
加藤　大樹,Taiki KATO,山形,MF,1993/03/14,170/67
金園　英学,Hidetaka KANAZONO,長野,FW,1988/09/01,184/78
金森　健志,Takeshi KANAMORI,福岡,MF,1994/04/04,171/74
金守　智哉,Tomoya KANAMORI,愛媛,DF,1982/04/02,178/72
金山　隼樹,Junki KANAYAMA,岡山,GK,1988/06/12,187/80
可児　壮隆,Masataka KANI,鳥取,MF,1991/04/18,173/68
カニーニ,Michele CANINI,FC東京,DF,1985/06/05,187/86
カヌ,Anderson Dos Santos(KANU),清水,DF,1985/12/29,186/83
鹿沼　直生,Naoki KANUMA,磐田,MF,1997/12/07,174/73
金井　大樹,Daiki KANEI,熊本,GK,1987/12/08,185/75
金枝　晃平,Kohei KANEEDA,岡山,MF,1999/02/14,170/60
上村　音生,Neo KAMIMURA,山口,FW,2004/11/29,164/62
上村　祐司,Yuji KAMIMURA,大宮,DF,1976/03/16,173/65
神谷　凱士,Kaito KAMIYA,川崎Ｆ,DF,1997/06/16,183/76
神谷　駿文,Shunya KAMIYA,藤枝,MF,1991/12/23,163/56
神谷　悠介,Yusuke KAMIYA,名古屋,FW,2004/04/20,172/63
神谷　優太,Yuta KAMIYA,柏,FW,1997/04/24,174/67
神谷　椋士,Ryoto KAMIYA,讃岐,FW,1997/06/16,171/64
神山　竜一,Ryuichi KAMIYAMA,福岡,GK,1984/11/10,188/97
カミンスキー,Krzysztof KAMINSKI,磐田,GK,1990/11/26,191/82
亀川　諒史,Masashi KAMEKAWA,長崎,DF,1993/05/28,177/72
川口　晃,Akira KAWAGUCHI,名古屋,GK,1967/01/24,189/85
川口　航平,Kohei KAWAGUCHI,名古屋,DF,2004/04/28,185/78
河口　真一,Shinichi KAWAGUCHI,福岡,DF,1977/06/13,188/81
川口　卓哉,Takuya KAWAGUCHI,札幌,DF,1978/10/11,181/75
川口　尚紀,Naoki KAWAGUCHI,柏,DF,1994/05/24,177/72
川口　信男,Nobuo KAWAGUCHI,FC東京,FW,1975/04/10,178/72
川口　真史,Masashi KAWAGUCHI,山口,FW,1993/10/05,170/68
川口　正人,Masato KAWAGUCHI,新潟,DF,1981/06/18,174/63
川口　能活,Yoshikatsu KAWAGUCHI,相模原,GK,1975/08/15,180/77
川崎　晶弘,Akihiro KAWASAKI,川崎Ｆ,DF,1998/04/02,167/57
川島　眞也,Shinya KAWASHIMA,岐阜,DF,1978/07/20,188/85
川島　大輝,Daiki KAWASHIMA,福岡,GK,1996/04/16,182/68
川島　大地,Daichi KAWASHIMA,北九州,MF,1986/11/21,168/64
川島　透,Toru KAWASHIMA,Ｇ大阪,GK,1970/06/04,181/73
川島　將,Nobuyuki KAWASHIMA,藤枝,DF,1992/02/04,183/77
川島　みざき,Mizaki KAWASHIMA,水戸,FW,1999/02/05,168/67
河田　篤秀,Atsushi KAWATA,徳島,FW,1992/09/18,177/77
川田　和宏,Kazuhiro KAWATA,秋田,MF,1982/06/11,173/70
川田　拳登,Kento KAWATA,長野,DF,1997/07/09,170/61
河田　晃兵,Kohei KAWATA,甲府,GK,1987/10/13,184/73
加藤　有輝,Yuki KATO,北九州,GK,1997/09/20,188/81
加藤　好男,Yoshio KATO,千葉,GK,1957/08/01,180/76
加藤　善之,Yoshiyuki KATO,福岡,DF,1964/07/27,175/75
加藤　竜二,Ryuji KATO,熊本,GK,1969/12/24,184/82
香取　潤,Jun KATORI,広島,DF,2003/07/10,174/70
カドゥー,Ricardo Frederico Rodrigues Antunes(CADU),川崎Ｆ,MF,1974/01/01,176/72
角口　大征,Taisei KADOGUCHI,水戸,FW,1996/07/15,183/70
角野　翔汰,Shota KADONO,鹿児島,MF,1992/06/21,173/68
金井　貢史,Takashi KANAI,甲府,DF,1990/02/05,175/74
金井　隆太,Ryuta KANAI,八戸,DF,1989/08/16,181/73
川田　修平,Shuhei KAWATA,栃木,GK,1994/04/05,189/82
川田　信茂,Nobushige KAWADA,湘南,MF,1970/12/03,173/65
河津　良一,Ryoichi KAWAZU,八戸,DF,1992/05/22,177/70
河面　旺成,Akinari KAWAZURA,大宮,DF,1994/05/03,183/76
川戸　大樹,Daiki KAWATO,相模原,MF,1994/04/05,168/63
川中　健太,Kenta KAWANAKA,福島,MF,1997/11/05,173/67
川辺　隆弥,Takaya KAWANABE,大宮,MF,1988/12/22,174/62
川鍋　良祐,Ryosuke KAWANABE,鳥取,DF,1986/02/26,183/75
河波　櫻士,Oji KAWANAMI,横浜FM,DF,2001/01/12,173/62
川浪　吾郎,Goro KAWANAMI,広島,GK,1991/04/30,192/89
カポネ,Carlos Alberto De Oliveira(CAPONE),京都,DF,1972/05/23,180/78
鎌田　翔雅,Shoma KAMATA,福島,DF,1989/06/15,172/68
鎌田　次郎,Jiro KAMATA,相模原,DF,1985/07/28,179/76
鎌田　斗来,Torai KAMATA,秋田,MF,1999/05/26,167/62
鎌田　祥平,Shohei KAMADA,徳島,MF,1980/05/11,171/71
鎌田　大地,Daichi KAMADA,鳥栖,MF,1996/08/05,180/72
鎌田　大夢,Hiromu KAMADA,福島,MF,2001/06/23,168/60
上岡　朋樹,Tomoki KAMIOKA,Ｇ大阪,DF,1998/05/30,179/73
神垣　陸,Riku KAMIGAKI,山口,MF,1998/07/14,178/65
上形　洋介,Yosuke KAMIGATA,八戸,FW,1992/09/25,180/74
亀島　周,Shu KAMESHIMA,鳥取,DF,1993/04/21,177/67
加茂　剛,Tsuyoshi KAMO,横浜FC,GK,1999/04/23,189/80
鴨川　奨,Sho KAMOGAWA,名古屋,FW,1983/02/07,179/75
鴨志田　誉,Takashi KAMOSHIDA,福島,MF,1985/07/09,174/66
蒲原　達也,Tatsuya KAMOHARA,鳥栖,MF,1983/07/08,170/64
萱沼　優聖,Yusei KAYANUMA,鹿児島,FW,1993/08/06,174/72
辛島　啓珠,Keiju KARASHIMA,水戸,DF,1971/06/24,183/75
カラセード,Marcelo CARRACEDO Garcia,福岡,MF,1970/04/16,170/67
カリウ,Leonardo KALIL Abdala,新潟,FW,1996/04/10,185/77
狩俣　瑛斗,Akito KARIMATA,琉球,MF,2004/12/03,164/53
川﨑　淳,Atsushi KAWASAKI,浦和,GK,2003/07/05,193/77
川﨑　一輝,Ikki KAWASAKI,讃岐,MF,1997/11/08,174/68
川崎　健太郎,Kentaro KAWASAKI,富山,MF,1982/12/18,175/69
川﨑　修平,Shuhei KAWASAKI,Ｇ大阪,FW,2001/04/28,168/66
川﨑　颯太（川崎　颯太）,Sota KAWASAKI,京都,MF,2001/07/30,172/68
川崎　元気,Motoki KAWASAKI,鳥栖,MF,1979/02/02,182/72
川﨑　裕大,Yasumasa KAWASAKI,相模原,DF,1992/08/20,175/69
川崎　楽生,Rai KAWASAKI,鹿児島,DF,2005/05/23,166/66
川里　光太郎,Kotaro KAWASATO,琉球,DF,1988/06/10,177/73
川島　永嗣,Eiji KAWASHIMA,川崎Ｆ,GK,1983/03/20,185/80
カタタウ,Eberti Marques De Toledo(KATATAU),横浜FC,FW,1986/03/01,170/61
片野　寛理,Hiromichi KATANO,北九州,DF,1982/04/06,179/78
片野坂　知宏,Tomohiro KATANOSAKA,大分,DF,1971/04/18,172/69
帷　智行,Tomoyuki KATABIRA,YS横浜,DF,1993/11/10,178/73
