,選手名,選手名（英語）,ポジション,生年月日,身長,体重,所属チーム,前所属チーム1,前所属チーム2,前所属チーム3,前所属チーム4,前所属チーム5,前所属チーム6,前所属チーム7,前所属チーム8,前所属チーム9,前所属チーム10,前所属チーム11,前所属チーム12,前所属チーム13,前所属チーム14,前所属チーム15,前所属チーム16,前所属チーム17,前所属チーム18,前所属チーム19,前所属チーム20,前所属チーム21
1537,風間　宏矢,Koya KAZAMA,MF,1993/04/16,180,71,ＦＣ琉球,ＦＣ岐阜,ＦＣ琉球,ＦＣ岐阜,大分トリニータ,ＦＣ岐阜,大分トリニータ,川崎フロンターレ,清水商高,清水ＦＣ,江尻サッカースポーツ少年団,-,-,-,-,-,-,-,-,-,-,-
1538,賀澤　陽友,Hiyu KAZAWA,FW,2001/04/18,170,63,,,,,,,,,,,,,,,,,,,,,,
1539,カシアーノ,Delvalle Ruiz CASIANO Wilberto,FW,1970/08/13,178,76,,,,,,,,,,,,,,,,,,,,,,
1540,樫崎　桂太,Keita KASHIZAKI,DF,1998/06/07,173,57,,,,,,,,,,,,,,,,,,,,,,
1541,栢原　悠聖,Yusei KASHIHARA,DF,2003/07/10,174,65,,,,,,,,,,,,,,,,,,,,,,
1542,柏　好文,Yoshifumi KASHIWA,MF,1987/07/28,168,62,サンフレッチェ広島,ヴァンフォーレ甲府,国士舘大,韮崎高,フォルトゥナＳＣ,増穂サッカースポーツ少年団,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1543,柏木　陽介,Yosuke KASHIWAGI,MF,1987/12/15,176,73,ＦＣ岐阜,浦和レッズ,サンフレッチェ広島,サンフレッチェ広島ユース,御津中,御津スポーツ少年団,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1544,柏瀬　暁,Satoru KASHIWASE,FW,1993/06/01,182,73,,,,,,,,,,,,,,,,,,,,,,
1545,加地　亮,Akira KAJI,DF,1980/01/13,177,75,,,,,,,,,,,,,,,,,,,,,,
1546,梶浦　勇輝,Yuki KAJIURA,MF,2004/01/02,169,64,ＦＣ東京,ＦＣ東京Ｕ-１５深川,ＦＣトリプレッタ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1547,梶川　裕嗣,Yuji KAJIKAWA,GK,1991/07/26,185,78,横浜Ｆ・マリノス,徳島ヴォルティス,湘南ベルマーレ,徳島ヴォルティス,湘南ベルマーレ,東海学園大,東海学園高,名古屋グランパスＵ１５,名古屋グランパスＵ１２,駒場ＳＣ,-,-,-,-,-,-,-,-,-,-,-,-
1548,梶川　諒太,Ryota KAJIKAWA,MF,1989/04/17,164,58,東京ヴェルディ,徳島ヴォルティス,東京ヴェルディ,Ｖ・ファーレン長崎,湘南ベルマーレ,Ｖ・ファーレン長崎,湘南ベルマーレ,東京ヴェルディ,関西学院大,関西学院高,兵庫ＦＣ,兵庫ＦＣ,荒井ＦＣ,-,-,-,-,-,-,-,-,-
1549,梶原　啓太,Keita KAJIHARA,MF,2003/04/18,175,69,,,,,,,,,,,,,,,,,,,,,,
1550,梶山　幹太,Kanta KAJIYAMA,MF,1998/04/24,167,63,,,,,,,,,,,,,,,,,,,,,,
1551,梶山　洋一,Yoichi KAJIYAMA,DF,1971/09/08,175,68,,,,,,,,,,,,,,,,,,,,,,
1552,梶山　陽平,Yohei KAJIYAMA,MF,1985/09/24,180,73,,,,,,,,,,,,,,,,,,,,,,
1553,梶原　慧汰,Keita KAJIWARA,FW,2003/04/27,173,68,,,,,,,,,,,,,,,,,,,,,,
1554,梶原　夕希也,Yukiya KAJIWARA,DF,1996/06/24,172,62,,,,,,,,,,,,,,,,,,,,,,
1555,數馬　正浩,Masahiro KAZUMA,DF,1982/06/22,180,78,,,,,,,,,,,,,,,,,,,,,,
1556,片井　巧,Takumi KATAI,FW,1995/11/14,174,68,,,,,,,,,,,,,,,,,,,,,,
1557,片岡　功二,Koji KATAOKA,MF,1977/06/19,170,65,,,,,,,,,,,,,,,,,,,,,,
1558,片岡　爽,So KATAOKA,MF,1992/04/20,171,68,,,,,,,,,,,,,,,,,,,,,,
1559,片岡　翼,Tsubasa KATAOKA,DF,2000/07/28,180,68,,,,,,,,,,,,,,,,,,,,,,
1560,片岡　洋介,Yosuke KATAOKA,DF,1982/05/26,180,78,,,,,,,,,,,,,,,,,,,,,,
1561,片木　泰希,Taiki KATAGI,DF,2004/04/06,171,67,,,,,,,,,,,,,,,,,,,,,,
1562,片桐　淳至,Atsushi KATAGIRI,FW,1983/08/01,177,68,,,,,,,,,,,,,,,,,,,,,,
1563,片倉　誠也,Seiya KATAKURA,DF,1998/12/05,171,68,ツエーゲン金沢,城西大,鹿島学園高,ＦＣアネーロ宇都宮Ｕ-１５,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1564,カタタウ,Eberti Marques De Toledo(KATATAU),FW,1986/03/01,170,61,,,,,,,,,,,,,,,,,,,,,,
1565,片野　寛理,Hiromichi KATANO,DF,1982/04/06,179,78,,,,,,,,,,,,,,,,,,,,,,
1566,片野坂　知宏,Tomohiro KATANOSAKA,DF,1971/04/18,172,69,,,,,,,,,,,,,,,,,,,,,,
1567,帷　智行,Tomoyuki KATABIRA,DF,1993/11/10,178,73,,,,,,,,,,,,,,,,,,,,,,
1568,片渕　浩一郎,Koichiro KATAFUCHI,FW,1975/04/29,182,74,,,,,,,,,,,,,,,,,,,,,,
1569,片山　瑛一,Eiichi KATAYAMA,DF,1991/11/30,181,77,清水エスパルス,セレッソ大阪,ファジアーノ岡山,早稲田大,川越高,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1570,片山　奨典,Shosuke KATAYAMA,DF,1983/09/08,169,68,,,,,,,,,,,,,,,,,,,,,,
1571,片山　真人,Masato KATAYAMA,FW,1984/04/19,183,78,,,,,,,,,,,,,,,,,,,,,,
1572,勝木　翔也,Shoya KATSUKI,GK,2002/06/09,176,78,,,,,,,,,,,,,,,,,,,,,,
1573,勝又　慶典,Yoshinori KATSUMATA,FW,1985/12/07,174,69,,,,,,,,,,,,,,,,,,,,,,
1574,桂　秀樹,Hideki KATSURA,MF,1970/03/06,160,58,,,,,,,,,,,,,,,,,,,,,,
1575,桂　陸人,Rikuto KATSURA,FW,2000/09/16,162,62,,,,,,,,,,,,,,,,,,,,,,
1576,加藤　壱盛,Issei KATO,FW,2003/05/28,180,79,ベガルタ仙台,ＧＲＡＮＤＥ　ＦＣ　Ｕ-１５,浦和三室ＳＳＣ　Ｕ-１２,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1577,加藤　健人,Kento KATO,MF,1995/09/24,176,72,,,,,,,,,,,,,,,,,,,,,,
1578,加藤　玄,Gen KATO,MF,2003/04/15,181,76,,,,,,,,,,,,,,,,,,,,,,
1579,加藤　弘堅,Koken KATO,MF,1989/04/03,178,72,東京ヴェルディ,ギラヴァンツ北九州,ザスパクサツ群馬,カターレ富山,京都サンガF.C.,市立船橋高,ウィングスＳＳ習志野,北貝塚ＦＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1580,加藤　恒平,Kohei KATO,MF,1989/06/14,173,70,,,,,,,,,,,,,,,,,,,,,,
1581,加藤　慎也,Shinya KATO,GK,1980/09/19,187,77,,,,,,,,,,,,,,,,,,,,,,
1582,加藤　潤也,Junya KATO,MF,1994/12/30,166,62,ザスパクサツ群馬,ガイナーレ鳥取,城西国際大,米子北高,サンフレッチェ常石,南ＳＣ,霞ＳＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1583,加藤　大樹,Taiki KATO,MF,1993/03/14,170,67,モンテディオ山形,ツエーゲン金沢,レノファ山口ＦＣ,ＳＰ京都ＦＣ,びわこ成蹊スポーツ大,立正大淞南高,ポルベニル　カシハラＪｒユース,ポルベニル　カシハラ,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1584,加藤　大智,Taichi KATO,GK,1997/04/14,180,70,ガンバ大阪,愛媛ＦＣ,明治大,名古屋グランパスＵ-１８,名古屋グランパスＵ-１５,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1585,加藤　拓己,Takumi KATO,FW,1999/07/16,180,84,清水エスパルス,早稲田大在学中,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1586,加藤　豪宏,Takehiro KATO,DF,1974/07/28,180,74,,,,,,,,,,,,,,,,,,,,,,
1587,加藤　大喜,Daiki KATO,GK,1995/12/26,182,75,,,,,,,,,,,,,,,,,,,,,,
1588,加藤　大志,Daishi KATO,MF,1983/07/26,165,60,,,,,,,,,,,,,,,,,,,,,,
1589,加藤　大也,Daiya KATO,MF,2005/06/16,166,55,,,,,,,,,,,,,,,,,,,,,,
1590,加藤　智陽,Chiharu KATO,DF,1996/04/11,174,70,ジュビロ磐田,ＡＣカヤーニ／フィンランド,ロッチデール　ローバ／オーストラリア,専修大,西武台高,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1591,加藤　千尋,Chihiro KATO,MF,1998/12/12,175,72,ベガルタ仙台,流通経済大,流通経済大付属柏高,ヴェルディＳ．Ｓ．アジュント,ヴィトーリア目黒ＦＣ,尾山台ＳＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1592,加藤　徹,Toru KATO,DF,1995/06/10,177,75,,,,,,,,,,,,,,,,,,,,,,
1593,加藤　寿一,Toshikazu KATO,DF,1981/05/28,181,73,,,,,,,,,,,,,,,,,,,,,,
1594,加藤　友乃晋,Tomonoshin KATO,DF,1998/05/28,180,63,,,,,,,,,,,,,,,,,,,,,,
1595,加藤　望,Nozomu KATO,MF,1969/10/07,170,62,,,,,,,,,,,,,,,,,,,,,,
1596,加藤　順大,Nobuhiro KATO,GK,1984/12/11,180,80,,,,,,,,,,,,,,,,,,,,,,
1597,加藤　聖,Hijiri KATO,DF,2001/09/16,171,64,Ｖ・ファーレン長崎,ＪＦＡアカデミー福島Ｕ-１８,ＪＦＡアカデミー福島Ｕ-１５,鹿の子台ＦＣ,ヴィッセル神戸Ｕ-１２,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1598,加藤　秀典,Hidenori KATO,DF,1981/05/13,179,76,,,,,,,,,,,,,,,,,,,,,,
1599,加藤　広樹,Hiroki KATO,DF,1986/07/31,191,84,,,,,,,,,,,,,,,,,,,,,,
1600,加藤　大,Masaru KATO,MF,1991/05/07,175,72,Ｖ・ファーレン長崎,アルビレックス新潟,アビスパ福岡,アルビレックス新潟,愛媛ＦＣ,アルビレックス新潟,愛媛ＦＣ,アルビレックス新潟,三菱養和ＳＣユース,ＦＣ杉野Ｊｒユース,-,-,-,-,-,-,-,-,-,-,-,-
1601,加藤　陸次樹,Mutsuki KATO,FW,1997/08/06,178,69,セレッソ大阪,ツエーゲン金沢,中央大,サンフレッチェ広島ユース,クマガヤサッカースポーツクラブ,江南南サッカー少年団,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1602,加藤　泰明,Yasuaki KATO,DF,1976/04/10,180,68,,,,,,,,,,,,,,,,,,,,,,
1603,加藤　有輝,Yuki KATO,GK,1997/09/20,188,81,ギラヴァンツ北九州,大宮アルディージャ,大宮アルディージャユース,大宮アルディージャＪｒユース,伊奈小針サッカースポーツ少年団,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1604,加藤　竜二,Ryuji KATO,GK,1969/12/24,184,82,,,,,,,,,,,,,,,,,,,,,,
1605,香取　潤,Jun KATORI,DF,2003/07/10,174,70,,,,,,,,,,,,,,,,,,,,,,
1606,カドゥー,Ricardo Frederico Rodrigues Antunes(CADU),MF,1974/01/01,176,72,,,,,,,,,,,,,,,,,,,,,,
1607,角口　大征,Taisei KADOGUCHI,FW,1996/07/15,183,70,,,,,,,,,,,,,,,,,,,,,,
1608,角野　翔汰,Shota KADONO,MF,1992/06/21,173,68,,,,,,,,,,,,,,,,,,,,,,
1609,門脇　駿斗,Hayato KADOWAKI,DF,2005/11/18,166,63,,,,,,,,,,,,,,,,,,,,,,
1610,金井　貢史,Takashi KANAI,DF,1990/02/05,175,74,ヴァンフォーレ甲府,清水エスパルス,名古屋グランパス,サガン鳥栖,名古屋グランパス,横浜Ｆ・マリノス,ジェフユナイテッド千葉,サガン鳥栖,横浜Ｆ・マリノス,サガン鳥栖,横浜Ｆ・マリノス,横浜Ｆ・マリノスユース,横浜Ｆ・マリノスＪｒユース,あざみ野Ｆ．Ｃ．,-,-,-,-,-,-,-,-
1611,金井　隆太,Ryuta KANAI,DF,1989/08/16,181,73,,,,,,,,,,,,,,,,,,,,,,
1612,金井　亮太,Ryota KANAI,MF,1998/05/09,164,58,,,,,,,,,,,,,,,,,,,,,,
1613,金久保　彩,Sai KANAKUBO,MF,1989/01/11,172,70,,,,,,,,,,,,,,,,,,,,,,
1614,金久保　順,Jun KANAKUBO,MF,1987/07/26,172,65,水戸ホーリーホック,京都サンガF.C.,ベガルタ仙台,大宮アルディージャ,川崎フロンターレ,大宮アルディージャ,アビスパ福岡,大宮アルディージャ,流通経済大,水戸短期大付属高,境第一中,境町ＦＣ,-,-,-,-,-,-,-,-,-,-
1615,金口　望,Nozomu KANAGUCHI,MF,1981/09/08,167,58,,,,,,,,,,,,,,,,,,,,,,
1616,金崎　夢生,Mu KANAZAKI,FW,1989/02/16,180,70,名古屋グランパス,サガン鳥栖,名古屋グランパス,サガン鳥栖,鹿島アントラーズ,ポルティモネンセＳＣ／ポルトガル,鹿島アントラーズ,ポルティモネンセＳＣ／ポルトガル,１．ＦＣニュルンベルク／ドイツ,名古屋グランパス,大分トリニータ,滝川二高,-,-,-,-,-,-,-,-,-,-
1617,金澤　慎,Shin KANAZAWA,MF,1983/09/09,175,70,,,,,,,,,,,,,,,,,,,,,,
1618,金沢　浄,Jo KANAZAWA,DF,1976/07/09,173,72,,,,,,,,,,,,,,,,,,,,,,
1619,金澤　崇文,Takafumi KANAZAWA,DF,1981/04/25,186,79,,,,,,,,,,,,,,,,,,,,,,
1620,金澤　大将,Hiromasa KANAZAWA,MF,1983/12/01,170,68,,,,,,,,,,,,,,,,,,,,,,
1621,金沢　亮,Ryo KANAZAWA,FW,1988/10/19,175,69,,,,,,,,,,,,,,,,,,,,,,
1622,金園　英学,Hidetaka KANAZONO,FW,1988/09/01,184,78,ＡＣ長野パルセイロ,ヴァンフォーレ甲府,北海道コンサドーレ札幌,ベガルタ仙台,ジュビロ磐田,関西大,立正大淞南高,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1623,金森　健志,Takeshi KANAMORI,MF,1994/04/04,171,74,アビスパ福岡,サガン鳥栖,鹿島アントラーズ,サガン鳥栖,鹿島アントラーズ,アビスパ福岡,筑陽学園高,筑陽学園中,若久サッカー少年団,-,-,-,-,-,-,-,-,-,-,-,-,-
1624,金守　智哉,Tomoya KANAMORI,DF,1982/04/02,178,72,,,,,,,,,,,,,,,,,,,,,,
1625,金山　隼樹,Junki KANAYAMA,GK,1988/06/12,187,80,ファジアーノ岡山,北海道コンサドーレ札幌,Ｖ・ファーレン長崎,立命館大,サンフレッチェ広島ユース,平田中,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1626,可児　壮隆,Masataka KANI,MF,1991/04/18,173,68,ガイナーレ鳥取,川崎フロンターレ,ＦＣ今治,川崎フロンターレ,ツエーゲン金沢,川崎フロンターレ,湘南ベルマーレ,川崎フロンターレ,阪南大,川崎フロンターレＵ-１８,川崎フロンターレＵ-１５,ＦＣムサシ,鉄ＦＣ,-,-,-,-,-,-,-,-,-
1627,カニーニ,Michele CANINI,DF,1985/06/05,187,86,,,,,,,,,,,,,,,,,,,,,,
1628,カヌ,Anderson Dos Santos(KANU),DF,1985/12/29,186,83,,,,,,,,,,,,,,,,,,,,,,
1629,鹿沼　直生,Naoki KANUMA,MF,1997/12/07,174,73,ジュビロ磐田,ＳＣ相模原,専修大,静岡学園高,グランデＦＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1630,金井　大樹,Daiki KANEI,GK,1987/12/08,185,75,,,,,,,,,,,,,,,,,,,,,,
1631,金枝　晃平,Kohei KANEEDA,MF,1999/02/14,170,60,,,,,,,,,,,,,,,,,,,,,,
1632,金子　翔太,Shota KANEKO,MF,1995/05/02,163,58,清水エスパルス,栃木ＳＣ,清水エスパルス,ＪＦＡアカデミー福島,今市第三カルナヴァル,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1633,金古　聖司,Seiji KANEKO,DF,1980/05/27,180,79,,,,,,,,,,,,,,,,,,,,,,
1634,金子　星太,Seita KANEKO,MF,2003/06/01,171,61,,,,,,,,,,,,,,,,,,,,,,
1635,金子　大晟,Taisei KANEKO,FW,1998/08/14,170,65,Ｙ．Ｓ．Ｃ．Ｃ．横浜,台中Ｆｕｔｕｒ／チャイニーズタイペイ,Ｙ．Ｓ．Ｃ．Ｃ．横浜,Ｙ．Ｓ．Ｃ．Ｃ．横浜Ｕ-１８,Ｙ．Ｓ．Ｃ．Ｃ．Ｊｒユース,Ｙ．Ｓ．Ｃ．Ｃ．アカデミークラス,Ｙ．Ｓ．Ｃ．Ｃ．スクール,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1636,金子　拓郎,Takuro KANEKO,MF,1997/07/30,178,68,北海道コンサドーレ札幌,日本大,前橋育英高,クマガヤＳＣ,小川サッカースポーツ少年団,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1637,金子　大毅,Daiki KANEKO,MF,1998/08/28,177,67,浦和レッズ,湘南ベルマーレ,神奈川大,市立船橋高,ＦＣトッカーノＵ-１５,烏山北ＦＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1638,金子　剛,Tsuyoshi KANEKO,FW,1983/04/08,183,74,,,,,,,,,,,,,,,,,,,,,,
1639,金子　誠,Makoto KANEKO,MF,1975/12/09,174,68,,,,,,,,,,,,,,,,,,,,,,
1640,金子　昌広,Masahiro KANEKO,MF,1991/02/02,168,63,ツエーゲン金沢,ヴァンフォーレ甲府,ツエーゲン金沢,ヴァンフォーレ甲府,国士舘大,正智深谷高,所沢ＪｒユースＳＣ,柳瀬レッドローズジュニア,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1641,金子　勇樹,Yuki KANEKO,MF,1982/05/29,168,63,,,,,,,,,,,,,,,,,,,,,,
1642,金子　優希,Yuki KANEKO,GK,1996/04/21,183,81,,,,,,,,,,,,,,,,,,,,,,
1643,金子　豊,Yutaka KANEKO,MF,1979/10/16,168,68,,,,,,,,,,,,,,,,,,,,,,
1644,金坂　励耶,Reiya KANESAKA,FW,2004/02/17,170,62,,,,,,,,,,,,,,,,,,,,,,
1645,兼田　亜季重,Akishige KANEDA,GK,1990/02/26,185,77,,,,,,,,,,,,,,,,,,,,,,
1646,金田　飛鳥,Asuka KANEDA,FW,2001/11/02,179,72,,,,,,,,,,,,,,,,,,,,,,
1647,金本　圭太,Keita KANEMOTO,MF,1977/07/13,173,71,,,,,,,,,,,,,,,,,,,,,,
1648,狩野　健太,Kenta KANO,MF,1986/05/02,177,70,,,,,,,,,,,,,,,,,,,,,,
1649,加納　昌弘,Masahiro KANO,DF,1977/04/04,174,69,,,,,,,,,,,,,,,,,,,,,,
1650,加納　錬,Ren KANO,DF,1994/10/31,172,72,,,,,,,,,,,,,,,,,,,,,,
1651,彼島　優,Yu KANOSHIMA,GK,2003/05/05,184,78,ＦＣ東京,ＦＣ東京Ｕ-１５深川,レジスタＦＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1652,樺山　諒乃介,Ryonosuke KABAYAMA,MF,2002/09/17,171,68,横浜Ｆ・マリノス,興国高,リップエースＳＣＪｒユース,ＳＳクリエイト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1653,鏑木　豪,Go KABURAKI,GK,1977/08/26,190,82,,,,,,,,,,,,,,,,,,,,,,
1654,鏑木　享,Toru KABURAGI,FW,1976/04/18,174,67,,,,,,,,,,,,,,,,,,,,,,
1655,鏑木　亮吾,Ryogo KABURAGI,FW,1989/03/23,173,73,,,,,,,,,,,,,,,,,,,,,,
1656,カブラル,Davorin KABLAR,DF,1977/12/06,194,90,,,,,,,,,,,,,,,,,,,,,,
1657,カブレリーゾ,Bruno CABRERIZO,DF,1979/07/09,185,77,,,,,,,,,,,,,,,,,,,,,,
1658,加部　未蘭,Miran KABE,FW,1992/06/17,187,79,,,,,,,,,,,,,,,,,,,,,,
1659,カボレ,Everaldo De Jesus Pereira(CABORE),FW,1980/02/19,186,78,,,,,,,,,,,,,,,,,,,,,,
1660,カポネ,Carlos Alberto De Oliveira(CAPONE),DF,1972/05/23,180,78,,,,,,,,,,,,,,,,,,,,,,
1661,鎌田　翔雅,Shoma KAMATA,DF,1989/06/15,172,68,福島ユナイテッドＦＣ,ブラウブリッツ秋田,清水エスパルス,湘南ベルマーレ,ファジアーノ岡山,湘南ベルマーレ,ジェフユナイテッド千葉,湘南ベルマーレ,湘南ベルマーレユース,湘南ベルマーレＪｒユース,湘南ベルマーレジュニア,-,-,-,-,-,-,-,-,-,-,-
1662,鎌田　次郎,Jiro KAMATA,DF,1985/07/28,179,76,ＳＣ相模原,柏レイソル,ベガルタ仙台,柏レイソル,流通経済大,ＦＣ東京Ｕ-１８,東京ガスＦＣＪｒユース,下丸子シューターズＦＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1663,鎌田　斗来,Torai KAMATA,MF,1999/05/26,167,62,,,,,,,,,,,,,,,,,,,,,,
1664,鎌田　祥平,Shohei KAMADA,MF,1980/05/11,171,71,,,,,,,,,,,,,,,,,,,,,,
1665,鎌田　大地,Daichi KAMADA,MF,1996/08/05,180,72,,,,,,,,,,,,,,,,,,,,,,
1666,鎌田　大夢,Hiromu KAMADA,MF,2001/06/23,168,60,福島ユナイテッドＦＣ,昌平高,ＪＦＡアカデミー福島Ｕ-１８,ＪＦＡアカデミー福島Ｕ-１５,キッズＦＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1667,上岡　朋樹,Tomoki KAMIOKA,DF,1998/05/30,179,73,,,,,,,,,,,,,,,,,,,,,,
1668,神垣　陸,Riku KAMIGAKI,MF,1998/07/14,178,65,レノファ山口ＦＣ,桐蔭横浜大,尚志高,前橋ＦＣ,図南ＳＣ前橋,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1669,上形　洋介,Yosuke KAMIGATA,FW,1992/09/25,180,74,ヴァンラーレ八戸,栃木ＳＣ,Ｖ・ファーレン長崎,栃木ＳＣ,Ｖ・ファーレン長崎,早稲田大,早稲田実業高,ＦＣ東京Ｕ-１５深川,スポーツ会館ＦＣ,-,-,-,-,-,-,-,-,-,-,-,-,-
1670,上島　拓巳,Takumi KAMIJIMA,DF,1997/02/05,186,80,柏レイソル,アビスパ福岡,柏レイソル,中央大,柏レイソルＵ-１８,柏レイソルＵ-１５,柏レイソルＵ-１２,ユーカリが丘ＳＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1671,上條　宏晃,Hiroaki KAMIJO,FW,1989/04/22,175,72,,,,,,,,,,,,,,,,,,,,,,
1672,上園　和明,Kazuaki KAMIZONO,MF,1981/11/28,174,71,,,,,,,,,,,,,,,,,,,,,,
1673,嘉味田　隼,Jun KAMITA,GK,1992/01/17,184,83,,,,,,,,,,,,,,,,,,,,,,
1674,上西　峻平,Shumpei KAMINISHI,FW,2002/07/15,172,68,,,,,,,,,,,,,,,,,,,,,,
1675,神野　亮太,Ryota KAMINO,DF,2001/09/25,183,72,テゲバジャーロ宮崎,鹿児島ユナイテッドＦＣ,テゲバジャーロ宮崎,鹿児島ユナイテッドＦＣ,鹿児島ユナイテッドＦＣ　Ｕ-１８,鹿児島スポーツクラブＵ-１５,Ｌｉｂｅｒｔｙ　ＦＣ　Ｊｒ　吉野,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1676,上福元　直人,Naoto KAMIFUKUMOTO,GK,1989/11/17,182,76,徳島ヴォルティス,東京ヴェルディ,大分トリニータ,ＦＣ町田ゼルビア,大分トリニータ,順天堂大,市立船橋高,千葉ＳＣ美浜,ＦＣ若葉,北貝塚ＦＣ,-,-,-,-,-,-,-,-,-,-,-,-
1677,神丸　洋一,Yoichi KAMIMARU,MF,1984/06/30,172,67,,,,,,,,,,,,,,,,,,,,,,
1678,上村　周平,Shuhei KAMIMURA,MF,1995/10/15,165,63,ロアッソ熊本,ロアッソ熊本ユース,ロアッソ熊本Ｊｒユース,太陽スポーツクラブ熊本Ｕ-１２,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1679,神村　奨,Sho KAMIMURA,FW,1989/03/29,172,60,,,,,,,,,,,,,,,,,,,,,,
1680,上村　音生,Neo KAMIMURA,FW,2004/11/29,164,62,,,,,,,,,,,,,,,,,,,,,,
1681,上村　祐司,Yuji KAMIMURA,DF,1976/03/16,173,65,,,,,,,,,,,,,,,,,,,,,,
1682,神谷　凱士,Kaito KAMIYA,DF,1997/06/16,183,76,川崎フロンターレ,東海学園大,東海学園高,ホペイロ刈谷,ＦＣ西尾,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1683,神谷　駿文,Shunya KAMIYA,MF,1991/12/23,163,56,,,,,,,,,,,,,,,,,,,,,,
1684,神谷　悠介,Yusuke KAMIYA,FW,2004/04/20,172,63,,,,,,,,,,,,,,,,,,,,,,
1685,神谷　優太,Yuta KAMIYA,FW,1997/04/24,174,67,柏レイソル,湘南ベルマーレ,愛媛ＦＣ,湘南ベルマーレ,愛媛ＦＣ,湘南ベルマーレ,青森山田高,東京ヴェルディユース,東京ヴェルディＪｒユース,東京ヴェルディジュニア,ＳＦＣジェラーレ,ＯＳＡフォルトナ山形,-,-,-,-,-,-,-,-,-,-
1686,神谷　椋士,Ryoto KAMIYA,FW,1997/06/16,171,64,,,,,,,,,,,,,,,,,,,,,,
1687,神山　竜一,Ryuichi KAMIYAMA,GK,1984/11/10,188,97,,,,,,,,,,,,,,,,,,,,,,
1688,カミンスキー,Krzysztof KAMINSKI,GK,1990/11/26,191,82,,,,,,,,,,,,,,,,,,,,,,
1689,亀川　諒史,Masashi KAMEKAWA,DF,1993/05/28,177,72,Ｖ・ファーレン長崎,柏レイソル,アビスパ福岡,湘南ベルマーレ,アビスパ福岡,湘南ベルマーレ,帝京第三高,グリーンフルミネンセＦＣ,箕面西小,-,-,-,-,-,-,-,-,-,-,-,-,-
1690,亀島　周,Shu KAMESHIMA,DF,1993/04/21,177,67,,,,,,,,,,,,,,,,,,,,,,
1691,加茂　剛,Tsuyoshi KAMO,GK,1999/04/23,189,80,,,,,,,,,,,,,,,,,,,,,,
1692,鴨川　奨,Sho KAMOGAWA,FW,1983/02/07,179,75,,,,,,,,,,,,,,,,,,,,,,
1693,鴨志田　誉,Takashi KAMOSHIDA,MF,1985/07/09,174,66,,,,,,,,,,,,,,,,,,,,,,
1694,蒲原　達也,Tatsuya KAMOHARA,MF,1983/07/08,170,64,,,,,,,,,,,,,,,,,,,,,,
1695,萱沼　優聖,Yusei KAYANUMA,FW,1993/08/06,174,72,鹿児島ユナイテッドＦＣ,カターレ富山,関東学院大,山梨学院大附属高,Ｕスポーツクラブ,ヴォルケーノ富士吉田ジュニア,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1696,辛島　啓珠,Keiju KARASHIMA,DF,1971/06/24,183,75,,,,,,,,,,,,,,,,,,,,,,
1697,カラセード,Marcelo CARRACEDO Garcia,MF,1970/04/16,170,67,,,,,,,,,,,,,,,,,,,,,,
1698,カリウ,Leonardo KALIL Abdala,FW,1996/04/10,185,77,,,,,,,,,,,,,,,,,,,,,,
